rho,anxiety_est,anxiety_ci.lb,anxiety_ci.ub,anxiety_pval,depression_est,contrast_est,contrast_ci.lb,contrast_ci.ub,contrast_tval,contrast_pval
0,0.3134908918534818,0.016380922671474563,0.6106008610354889,0.03873478973060457,-0.3207604547844205,-0.6342513466379023,-1.068214045775981,-0.20028864749982356,-2.8806201322298475,0.004366942909826941
0.25,0.30880546964260847,0.014385889818673947,0.603225049466543,0.03989589456055019,-0.32044638833872485,-0.6292518579813333,-1.063533349288123,-0.1949703666745437,-2.8558157299656584,0.00470939081252112
0.5,0.3040745932199337,0.012224595695844553,0.5959245907440228,0.041221920080752275,-0.3201044263393167,-0.6241790195592504,-1.0586345106232806,-0.18972352849522017,-2.8316584703402925,0.005066258717115053
0.75,0.29923523827378556,0.009854424489947,0.5886160520576241,0.042755646715808865,-0.3197987123346691,-0.6190339506084547,-1.0535208064481265,-0.18454709476878284,-2.8081145581129237,0.005437581097936667
0.9,0.29625632563294296,0.008314867426037709,0.5841977838398482,0.04379566333116022,-0.31965619863188316,-0.6159125242648261,-1.0503561494811062,-0.18146889904854602,-2.7942328988465417,0.0056679430153818485
