metric,rho,k,estimate,se,ci.lb,ci.ub,tval,pval,sigma2_Study,sigma2_ES,sigma2_Strain,I2_Total,I2_Study_ID,I2_ES_ID,I2_Strain
lnRR,0,298,-0.25001702940007253,0.07070793598043834,-0.38916908252293136,-0.1108649762772137,-3.5359118595859003,4.7124495386482643e-4,0.07202873579929135,0.2140516403498586,1.954672944333455e-9,96.59738853548575,24.32109403602267,72.27629383945171,6.600113685359307e-7
lnVR,0,222,0.1406479255873892,0.1274922078112133,-0.11060814239510641,0.3919039935698848,1.1031884065860442,0.2711451723374735,0.14179348514243584,1.156095415784375,2.408216282625578e-9,92.21351967779404,10.074264676095972,82.13925483059707,1.7110100794887086e-7
lnRR,0.25,298,-0.24200207583512606,0.0690312958635976,-0.37785452883005743,-0.10614962284019466,-3.505686410889781,5.257125969474119e-4,0.06470846417782078,0.2155374416970621,1.5196565194445436e-9,96.52900801707295,22.288439162109412,74.24056833152703,5.234364980115238e-7
lnVR,0.25,222,0.13557316592786095,0.1249666255460612,-0.11070559496894916,0.38185192682467106,1.0848749843044319,0.2791590600802504,0.11851107967552656,1.1978455788557019,4.044960845746618e-9,92.31436391846746,8.311026371930442,84.00333726286922,2.836677916906071e-7
lnRR,0.5,298,-0.23566548346838878,0.06829715023114608,-0.37007314995342866,-0.10125781698334888,-3.450590290675356,6.404639784855384e-4,0.0598320892994245,0.2231000049201609,2.527244550615458e-9,96.56082866364399,20.41986819402563,76.14095960710459,8.625137651366214e-7
lnVR,0.5,222,0.13038983997419396,0.12240054128947081,-0.11083179428333634,0.37161147423172425,1.065271759426528,0.2879154226091128,0.0963256852920496,1.2390690061458938,2.356682647872177e-9,92.41562384419603,6.666192654389509,85.74943102671297,1.6309357684133063e-7
lnRR,0.75,298,-0.23111100343273058,0.06817319988668058,-0.36527473768189767,-0.0969472691835635,-3.390056559130125,7.93318884605607e-4,0.05648203934892799,0.23533123668740227,3.6677185561336085e-9,96.66200416686631,18.70945396465942,77.95254898728952,1.2149173838676432e-6
lnVR,0.75,222,0.12497205726000876,0.11971140141440477,-0.11094993772651185,0.3608940522465294,1.043944484681064,0.2976516333226942,0.07504126372311327,1.2797885136823015,3.2259232353253955e-9,92.51627986937943,5.124288420294613,87.39199122879853,2.2028628329783474e-7
lnRR,0.9,298,-0.22921084945004064,0.06829290145673637,-0.3636101544170392,-0.09481154448304208,-3.3562909842869386,8.927385621278668e-4,0.05493352360601939,0.24475884208434365,4.0771330656622225e-9,96.74690721056687,17.733679756959422,79.01322613742443,1.3161830402781852e-6
lnVR,0.9,222,0.12153764801677239,0.11799773248406026,-0.1110071231797288,0.35408241921327355,1.0299998606599523,0.3041359950952877,0.06263033735602043,1.3040061248987045,2.8924730971458925e-9,92.57613364218872,4.242587278323362,88.33354616792884,1.95936507496141e-7
