ES_ID,Title,DOI,Publish_in,Study_ID,Year,Ex_ID,Exp_note,Outcome_ID,Outcome_notes,Species_latin,Species_common,Strain,Sex,Lifestage_exposure,Lifestage_exposure_notes,Lifestage_testing,Lifestage_testing_notes,Experimental_design,Experimental_design_notes,Comparison_structure,Combined_manipulation,Combined_manipulation_notes,Induced behaviour,Inducing_procedure,Inducing_procedure_notes,Lifestage_inducing_procedure,Lifestage_inducing_procedure_ notes,Inducing_procedure_duration,Inducing_procedure_duration_notes,Experimental_procedures,Experimental_procedures_notes,Relative_timing,Timing_notes,Test_sequence,Test_sequence_notes,Exposure_duration,Exposure_notes,Exposure_span,Exposure_span_notes,Music_exposure_duration,Music_timing,Music_type,Music_notes,Meta_genre,Loudness,Frequency,Stimulus_reporting,Control_conditions,Control_loudness,Control_notes,Control_frequency,Control_stimulus_reporting,Outcome_type,Assay_type,Assay_type_notes,Measurment_variable,Data_type,Data_units,Measurement_timing,Timing_reporting,Data_source,Data_file,C_ID,E_ID,Comparison,Higher_better,Higher_better_notes,C_n,Ex_n,C_mean,C_SE,C_SD,C_CI,Ex_mean,Ex_SE,Ex_SD,Ex_CI,Stat_comment,ROB_guideline,ROB_guideline_name,ROB_blinding,ROB_randomization,ROB_rand_method,ROB_attrition,ROB_attrition_notes,ROB_selective_reporting,ROB_selective_reporting_notes,Overall_rob,Reporting_quality,Cohort_ID,lnRR,lnRR_var,lnVR,lnVR_var,lnCVR,lnCVR_var
es011,Classical Music and Environmental Enrichment Enhanced Spatial Memory and Learning and Increased Mouse Innate Tendency to Avoid Open Spaces,10.31080/ecne.2021.13.00837,EC Neurology,Freitas_2020_ECNE,2020,ex001,NA,out001,NA,Mus musculus,Mouse,BALB/c,Female,Mixed,Juvenile to young adult,Young adult,NA,Factorial,NA,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,12,10 min silent invertval every 30 min of music,39,3 times a week during 3 months,Medium,dark phase,classical,Western classicals,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,NA,Not applicable,0,Anxiety,Open Field Test,NA,Motion,distance,m,Not reported,1,Figure 1,Freitas_2020_fig_1A,IENM_,IECM,IENM_IECM,Yes,NA,8,8,8.296,0.605,1.712,NA,9.17,0.964,2.727,NA,NA,No,NA,No,Not reported,not reported,No,NA,No,NA,1,3,Freitas_2020_ECNE_Ex-ID,-0.10016381534114743,0.016377853008473525,0.4655398261439012,0.14285714285714285,0.36537601080275395,0.15923499586561637
es012,Classical Music and Environmental Enrichment Enhanced Spatial Memory and Learning and Increased Mouse Innate Tendency to Avoid Open Spaces,10.31080/ecne.2021.13.00837,EC Neurology,Freitas_2020_ECNE,2020,ex001,NA,out002,NA,Mus musculus,Mouse,BALB/c,Female,Mixed,Juvenile to young adult,Young adult,NA,Factorial,NA,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,12,10 min silent invertval every 30 min of music,39,3 times a week during 3 months,Medium,dark phase,classical,Western classicals,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,NA,Not applicable,0,Anxiety,Open Field Test,NA,Crossed lines,count,N/A,Not reported,1,Figure 1,Freitas_2020_fig_1B,IENM_,IECM,IENM_IECM,Yes,NA,8,8,114.329,8.748,24.743,NA,107.391,11.463,32.422,NA,NA,No,NA,No,Not reported,not reported,No,NA,No,NA,1,3,Freitas_2020_ECNE_Ex-ID,0.06260387722417803,0.017248076227504586,0.27029458399097206,0.14285714285714285,0.3328984612151502,0.16010521908464742
es013,Classical Music and Environmental Enrichment Enhanced Spatial Memory and Learning and Increased Mouse Innate Tendency to Avoid Open Spaces,10.31080/ecne.2021.13.00837,EC Neurology,Freitas_2020_ECNE,2020,ex001,NA,out003,NA,Mus musculus,Mouse,BALB/c,Female,Mixed,Juvenile to young adult,Young adult,NA,Factorial,NA,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,12,10 min silent invertval every 30 min of music,39,3 times a week during 3 months,Medium,dark phase,classical,Western classicals,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,NA,Not applicable,0,Anxiety,Open Field Test,NA,Immobility,time,s,Not reported,1,Figure 1,Freitas_2020_fig_1C,IENM_,IECM,IENM_IECM,No,NA,8,8,76.54,8.358,23.639,NA,103.372,9.897,27.994,NA,NA,No,NA,No,Not reported,not reported,No,NA,No,NA,1,3,Freitas_2020_ECNE_Ex-ID,0.30052065236896724,0.02109030279402641,0.1690923110397102,0.14285714285714285,-0.131428341329257,0.16394744565116925
es014,Classical Music and Environmental Enrichment Enhanced Spatial Memory and Learning and Increased Mouse Innate Tendency to Avoid Open Spaces,10.31080/ecne.2021.13.00837,EC Neurology,Freitas_2020_ECNE,2020,ex001,NA,out004,NA,Mus musculus,Mouse,BALB/c,Female,Mixed,Juvenile to young adult,Young adult,NA,Factorial,NA,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,12,10 min silent invertval every 30 min of music,39,3 times a week during 3 months,Medium,dark phase,classical,Western classicals,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,NA,Not applicable,0,Anxiety,Open Field Test,Preference index,Periphery vs Center,time,index,Not reported,1,Figure 1,Freitas_2020_fig_1D,IENM_,IECM,IENM_IECM,No,Higher values = more time in periphey; ..EE-CM animals occupied the center of the apparatus longer than IE-CM animals,8,8,0.414,0.036,0.102,NA,0.517,0.056,0.159,NA,NA,No,NA,No,Not reported,not reported,No,NA,No,NA,1,3,Freitas_2020_ECNE_Ex-ID,0.22217690068311474,0.019410568771958937,0.4439313889359605,0.14285714285714285,0.2217544882528457,0.16226771162910178
es015,Classical Music and Environmental Enrichment Enhanced Spatial Memory and Learning and Increased Mouse Innate Tendency to Avoid Open Spaces,10.31080/ecne.2021.13.00837,EC Neurology,Freitas_2020_ECNE,2020,ex002,NA,out001,NA,Mus musculus,Mouse,BALB/c,Female,Mixed,Juvenile to young adult,Young adult,NA,Factorial,NA,Independent,Yes,Environmental enrichment,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,12,10 min silent invertval every 30 min of music,39,3 times a week during 3 months,Medium,dark phase,classical,Western classicals,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,NA,Not applicable,0,Anxiety,Open Field Test,NA,Motion,distance,m,Not reported,1,Figure 1,Freitas_2020_fig_1A,EENM_,EECM,EENM_EECM,Yes,NA,8,8,11.076,0.471,1.332,NA,9.552,0.359,1.015,NA,NA,No,NA,No,Not reported,not reported,No,NA,No,NA,1,3,Freitas_2020_ECNE_Ex-ID,0.14803004865846928,0.0032192200107866594,-0.27179295962444694,0.14285714285714285,-0.12376291096597772,0.14607636286792952
es016,Classical Music and Environmental Enrichment Enhanced Spatial Memory and Learning and Increased Mouse Innate Tendency to Avoid Open Spaces,10.31080/ecne.2021.13.00837,EC Neurology,Freitas_2020_ECNE,2020,ex002,NA,out002,NA,Mus musculus,Mouse,BALB/c,Female,Mixed,Juvenile to young adult,Young adult,NA,Factorial,NA,Independent,Yes,Environmental enrichment,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,12,10 min silent invertval every 30 min of music,39,3 times a week during 3 months,Medium,dark phase,classical,Western classicals,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,NA,Not applicable,0,Anxiety,Open Field Test,NA,Crossed lines,count,N/A,Not reported,1,Figure 1,Freitas_2020_fig_1B,EENM_,EECM,EENM_EECM,Yes,NA,8,8,146.908,6.033,17.064,NA,134.842,5.43,15.358,NA,NA,No,NA,No,Not reported,not reported,No,NA,No,NA,1,3,Freitas_2020_ECNE_Ex-ID,0.0857028178627153,0.0033080233483671773,-0.10533447026069756,0.14285714285714285,-0.019631652397982063,0.14616516620551
es017,Classical Music and Environmental Enrichment Enhanced Spatial Memory and Learning and Increased Mouse Innate Tendency to Avoid Open Spaces,10.31080/ecne.2021.13.00837,EC Neurology,Freitas_2020_ECNE,2020,ex002,NA,out003,NA,Mus musculus,Mouse,BALB/c,Female,Mixed,Juvenile to young adult,Young adult,NA,Factorial,NA,Independent,Yes,Environmental enrichment,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,12,10 min silent invertval every 30 min of music,39,3 times a week during 3 months,Medium,dark phase,classical,Western classicals,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,NA,Not applicable,0,Anxiety,Open Field Test,NA,Immobility,time,s,Not reported,1,Figure 1,Freitas_2020_fig_1C,EENM_,EECM,EENM_EECM,No,NA,8,8,71.041,7.038,19.907,NA,85.777,6.378,18.041,NA,NA,No,NA,No,Not reported,not reported,No,NA,No,NA,1,3,Freitas_2020_ECNE_Ex-ID,0.18849373012851794,0.015344845113783288,-0.09842448320113042,0.14285714285714285,-0.2869182133296484,0.15820198797092616
es018,Classical Music and Environmental Enrichment Enhanced Spatial Memory and Learning and Increased Mouse Innate Tendency to Avoid Open Spaces,10.31080/ecne.2021.13.00837,EC Neurology,Freitas_2020_ECNE,2020,ex002,NA,out004,NA,Mus musculus,Mouse,BALB/c,Female,Mixed,Juvenile to young adult,Young adult,NA,Factorial,NA,Independent,Yes,Environmental enrichment,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,12,10 min silent invertval every 30 min of music,39,3 times a week during 3 months,Medium,dark phase,classical,Western classicals,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,NA,Not applicable,0,Anxiety,Open Field Test,NA,Periphery vs Center,percentage,%,Not reported,1,Figure 1,Freitas_2020_fig_1D,EENM_,EECM,EENM_EECM,No,Higher values = more time in periphey; ..EE-CM animals occupied the center of the apparatus longer than IE-CM animals,8,8,0.293,0.04,0.114,NA,0.347,0.027,0.076,NA,NA,No,NA,No,Not reported,not reported,No,NA,No,NA,1,3,Freitas_2020_ECNE_Ex-ID,0.09646982816549578,0.008000261727156722,NA,NA,NA,NA
es019,Classical Music and Environmental Enrichment Enhanced Spatial Memory and Learning and Increased Mouse Innate Tendency to Avoid Open Spaces,10.31080/ecne.2021.13.00837,EC Neurology,Freitas_2020_ECNE,2020,ex001,NA,out001,NA,Mus musculus,Mouse,BALB/c,Female,Mixed,Juvenile to young adult,Young adult,NA,Factorial,NA,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,12,10 min silent invertval every 30 min of music,39,3 times a week during 3 months,Medium,dark phase,classical,Western classicals,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,NA,Not applicable,0,Anxiety,Elevated Plus Maze,Preference index,Closed vs Open arms,time,index,Not reported,1,Figure 2,Freitas_2020_fig_2A,IENM_,IECM,IENM_IECM,No,Negative = less anxiety (open arms),8,8,0.41,0.099,0.28,NA,0.395,0.073,0.206,NA,NA,No,NA,No,Not reported,not reported,No,NA,No,NA,1,3,Freitas_2020_ECNE_Ex-ID,-0.03727139479723154,0.09229638853655392,-0.3069134343796686,0.14285714285714285,-0.26964203958243715,0.23515353139369677
es020,Classical Music and Environmental Enrichment Enhanced Spatial Memory and Learning and Increased Mouse Innate Tendency to Avoid Open Spaces,10.31080/ecne.2021.13.00837,EC Neurology,Freitas_2020_ECNE,2020,ex001,NA,out002,NA,Mus musculus,Mouse,BALB/c,Female,Mixed,Juvenile to young adult,Young adult,NA,Factorial,NA,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,12,10 min silent invertval every 30 min of music,39,3 times a week during 3 months,Medium,dark phase,classical,Western classicals,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,NA,Not applicable,0,Anxiety,Elevated Plus Maze,NA,Immobility,time,s,Not reported,1,Figure 2,Freitas_2020_fig_2C,IENM_,IECM,IENM_IECM,No,NA,8,8,68.314,13.808,39.055,NA,207.485,12.718,35.972,NA,NA,No,NA,No,Not reported,not reported,No,NA,No,NA,1,3,Freitas_2020_ECNE_Ex-ID,1.1109443242914556,0.04461208577902118,-0.08223005100999158,0.14285714285714285,-1.193174375301447,0.18746922863616403
