ES_ID,Title,DOI,Publish_in,Study_ID,Year,Ex_ID,Exp_note,Outcome_ID,Outcome_notes,Species_latin,Species_common,Strain,Sex,Lifestage_exposure,Lifestage_exposure_notes,Lifestage_testing,Lifestage_testing_notes,Experimental_design,Experimental_design_notes,Comparison_structure,Combined_manipulation,Combined_manipulation_notes,Induced behaviour,Inducing_procedure,Inducing_procedure_notes,Lifestage_inducing_procedure,Lifestage_inducing_procedure_ notes,Inducing_procedure_duration,Inducing_procedure_duration_notes,Experimental_procedures,Experimental_procedures_notes,Relative_timing,Timing_notes,Test_sequence,Test_sequence_notes,Exposure_duration,Exposure_notes,Exposure_span,Exposure_span_notes,Music_exposure_duration,Music_timing,Music_type,Music_notes,Meta_genre,Loudness,Frequency,Stimulus_reporting,Control_conditions,Control_loudness,Control_notes,Control_frequency,Control_stimulus_reporting,Outcome_type,Assay_type,Assay_type_notes,Measurment_variable,Data_type,Data_units,Measurement_timing,Timing_reporting,Data_source,Data_file,C_ID,E_ID,Comparison,Higher_better,Higher_better_notes,C_n,Ex_n,C_mean,C_SE,C_SD,C_CI,Ex_mean,Ex_SE,Ex_SD,Ex_CI,Stat_comment,ROB_guideline,ROB_guideline_name,ROB_blinding,ROB_randomization,ROB_rand_method,ROB_attrition,ROB_attrition_notes,ROB_selective_reporting,ROB_selective_reporting_notes,Overall_rob,Reporting_quality,Cohort_ID,lnRR,lnRR_var,lnVR,lnVR_var,lnCVR,lnCVR_var
es068,Music exposure attenuates anxiety- and depression-like behaviors and increases hippocampal spine density in male rats,10.1016/j.bbr.2019.112023,Behavioural Brain Research,Papadakakis_2019_BBR,2019,ex001,NA,out007,NA,Rattus norvegicus,Rat,Sprague Dawley,Male,Mixed,PND 21 to 77,Young adult,PDN 88,Factorial,NA,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,12,NA,55,NA,Medium,light phase,classical,Western classical: Mozartt K.449,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,65,NA,Not applicable,2,Depression,Forced Swim Test (FST),pre-test 24h before,Total activity,time,s,light phase,2,Figure 5,Papadakakis_2019_fig_5b,CGambient.noise_,CGMozart,CGambient.noise_CGMozart,Yes,...more time immobile….increased depressive behaviors,10,10,165.051,4.699,14.859,NA,176.211,2.349,7.43,NA,NA,No,NA,No,Yes,not reported,No,NA,No,NA,2,7,Papadakakis_2019_BBR_Ex-ID,-0.06542762356043817,9.882727600273489e-4,-0.6930798835445426,0.1111111111111111,-0.7585075071049812,0.11209938387113845
es069,Music exposure attenuates anxiety- and depression-like behaviors and increases hippocampal spine density in male rats,10.1016/j.bbr.2019.112023,Behavioural Brain Research,Papadakakis_2019_BBR,2019,ex001,NA,out008,NA,Rattus norvegicus,Rat,Sprague Dawley,Male,Mixed,PND 21 to 77,Young adult,PDN 88,Factorial,NA,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,12,NA,55,NA,Medium,light phase,classical,Western classical: Mozartt K.449,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,65,NA,Not applicable,2,Depression,Forced Swim Test (FST),pre-test 24h before,Climbing,time,s,light phase,2,Figure 5,Papadakakis_2019_fig_5c,CGambient.noise_,CGMozart,CGambient.noise_CGMozart,Yes,...less time climbing and swimming…more depressed,10,10,93.255,3.519,11.128,NA,103.226,3.519,11.128,NA,NA,No,NA,No,Yes,not reported,No,NA,No,NA,2,7,Papadakakis_2019_BBR_Ex-ID,-0.10158308291150336,0.002586067939684883,0,0.1111111111111111,-0.10158308291150384,0.11369717905079599
es070,Music exposure attenuates anxiety- and depression-like behaviors and increases hippocampal spine density in male rats,10.1016/j.bbr.2019.112023,Behavioural Brain Research,Papadakakis_2019_BBR,2019,ex001,NA,out009,NA,Rattus norvegicus,Rat,Sprague Dawley,Male,Mixed,PND 21 to 77,Young adult,PDN 88,Factorial,NA,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,12,NA,55,NA,Medium,light phase,classical,Western classical: Mozartt K.449,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,65,NA,Not applicable,2,Depression,Forced Swim Test (FST),pre-test 24h before,Swimming,time,s,light phase,2,Figure 5,Papadakakis_2019_fig_5d,CGambient.noise_,CGMozart,CGambient.noise_CGMozart,Yes,...less time climbing and swimming…more depressed,10,10,69.851,2.985,9.44,NA,72.836,2.985,9.44,NA,NA,No,NA,No,Yes,not reported,No,NA,No,NA,2,7,Papadakakis_2019_BBR_Ex-ID,-0.0418459364768354,0.003506189629579621,0,0.1111111111111111,-0.041845936476835516,0.11461730074069072
es071,Music exposure attenuates anxiety- and depression-like behaviors and increases hippocampal spine density in male rats,10.1016/j.bbr.2019.112023,Behavioural Brain Research,Papadakakis_2019_BBR,2019,ex002,NA,out006,NA,Rattus norvegicus,Rat,Sprague Dawley,Male,Mixed,PND 21 to 77,Young adult,PDN 88,Factorial,NA,Independent,Yes,Maternal separation,Induced,Maternal Separation,NA,Mixed,neonatal+infantile,12,NA,None,NA,Before,NA,Single trial,NA,12,NA,55,NA,Medium,light phase,classical,Western classical: Mozartt K.449,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,65,NA,Not applicable,2,Depression,Forced Swim Test (FST),pre-test 24h before,Immobility,time,s,light phase,2,Figure 5,Papadakakis_2019_fig_5a,MSambient.noise_,MSMozart,MSambient.noise_MSMozart,No,...more time immobile….increased depressive behaviors,11,11,204.498,5.997,19.89,NA,148.126,4.198,13.923,NA,NA,No,NA,No,Yes,not reported,No,NA,No,NA,2,7,Papadakakis_2019_BBR_Ex-ID,-0.3224949325624723,0.0016631759427434556,-0.35667494393873245,0.1,-0.034180011376260214,0.10166317594274346
es072,Music exposure attenuates anxiety- and depression-like behaviors and increases hippocampal spine density in male rats,10.1016/j.bbr.2019.112023,Behavioural Brain Research,Papadakakis_2019_BBR,2019,ex002,NA,out007,NA,Rattus norvegicus,Rat,Sprague Dawley,Male,Mixed,PND 21 to 77,Young adult,PDN 88,Factorial,NA,Independent,Yes,Maternal separation,Induced,Maternal Separation,NA,Mixed,neonatal+infantile,12,NA,None,NA,Before,NA,Single trial,NA,12,NA,55,NA,Medium,light phase,classical,Western classical: Mozartt K.449,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,65,NA,Not applicable,2,Depression,Forced Swim Test (FST),pre-test 24h before,Total activity,time,s,light phase,2,Figure 5,Papadakakis_2019_fig_5b,MSambient.noise_,MSMozart,MSambient.noise_MSMozart,Yes,...more time immobile….increased depressive behaviors,11,11,94.567,5.874,19.481,NA,152.129,4.112,13.637,NA,NA,No,NA,No,Yes,not reported,No,NA,No,NA,2,7,Papadakakis_2019_BBR_Ex-ID,-0.4754202671373101,0.004588397872030755,-0.35665294472337017,0.1,-0.8320732118606804,0.10458839787203077
es073,Music exposure attenuates anxiety- and depression-like behaviors and increases hippocampal spine density in male rats,10.1016/j.bbr.2019.112023,Behavioural Brain Research,Papadakakis_2019_BBR,2019,ex002,NA,out008,NA,Rattus norvegicus,Rat,Sprague Dawley,Male,Mixed,PND 21 to 77,Young adult,PDN 88,Factorial,NA,Independent,Yes,Maternal separation,Induced,Maternal Separation,NA,Mixed,neonatal+infantile,12,NA,None,NA,Before,NA,Single trial,NA,12,NA,55,NA,Medium,light phase,classical,Western classical: Mozartt K.449,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,65,NA,Not applicable,2,Depression,Forced Swim Test (FST),pre-test 24h before,Climbing,time,s,light phase,2,Figure 5,Papadakakis_2019_fig_5c,MSambient.noise_,MSMozart,MSambient.noise_MSMozart,Yes,...less time climbing and swimming…more depressed,11,11,60.411,2.346,7.781,NA,89.736,1.76,5.836,NA,NA,No,NA,No,Yes,not reported,No,NA,No,NA,2,7,Papadakakis_2019_BBR_Ex-ID,-0.3957008187785443,0.0018926626006056822,-0.2876392339742537,0.1,-0.6833400527527982,0.1018926626006057
es074,Music exposure attenuates anxiety- and depression-like behaviors and increases hippocampal spine density in male rats,10.1016/j.bbr.2019.112023,Behavioural Brain Research,Papadakakis_2019_BBR,2019,ex002,NA,out009,NA,Rattus norvegicus,Rat,Sprague Dawley,Male,Mixed,PND 21 to 77,Young adult,PDN 88,Factorial,NA,Independent,Yes,Maternal separation,Induced,Maternal Separation,NA,Mixed,neonatal+infantile,12,NA,None,NA,Before,NA,Single trial,NA,12,NA,55,NA,Medium,light phase,classical,Western classical: Mozartt K.449,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,65,NA,Not applicable,2,Depression,Forced Swim Test (FST),pre-test 24h before,Swimming,time,s,light phase,2,Figure 5,Papadakakis_2019_fig_5d,MSambient.noise_,MSMozart,MSambient.noise_MSMozart,Yes,...less time climbing and swimming…more depressed,11,11,34.627,4.179,13.861,NA,61.493,4.179,13.861,NA,NA,No,NA,No,Yes,not reported,No,NA,No,NA,2,7,Papadakakis_2019_BBR_Ex-ID,-0.5742896226239335,0.01918585489094008,0,0.1,-0.5742896226239335,0.1191858548909401
es075,Music prevents stress-induced depression and anxiety-like behavior in mice,10.1038/s41398-023-02606-z,Translational Psychiatry,Fu_2023_TRANSPSY,2023,ex001,NA,out001,NA,Mus musculus,Mouse,C57BL/6,Male,Young adult,>8weeks,Young adult,NA,Factorial,NA,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,1.5,NA,28,NA,Short,dark phase,mixed,"Baroque, classsical (eastern/western), romantic (?)",Mixed,Not reported,86-22006,1,ambiet sound,Not reported,NA,Not applicable,0,Anxiety,Open Field Test,NA,Time in center,time,s,light phase,2,Figure 1,Fu_2023_fig_1B,control_,music,control_music,Yes,NA,6,6,2.383,0.606,1.486,NA,2.48,0.726,1.777,NA,NA,No,NA,Yes,Not reported,not reported,No,NA,Yes,Missing: number of times the mice crossed the center,1,4,Fu_2023_TRANSPSY_Ex-ID,-0.03989836206028575,0.15037918836747965,0.17883860287694683,0.2,0.1389402408166613,0.3503791883674796
es076,Music prevents stress-induced depression and anxiety-like behavior in mice,10.1038/s41398-023-02606-z,Translational Psychiatry,Fu_2023_TRANSPSY,2023,ex001,NA,out002,NA,Mus musculus,Mouse,C57BL/6,Male,Young adult,>8weeks,Young adult,NA,Factorial,NA,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,1.5,NA,28,NA,Short,dark phase,mixed,"Baroque, classsical (eastern/western), romantic (?)",Mixed,Not reported,86-22007,1,ambiet sound,Not reported,NA,Not applicable,0,Anxiety,Open Field Test,NA,Motion,distance,mm,light phase,2,Figure 1,Fu_2023_fig_1B_2,control_,music,control_music,Yes,NA,6,6,21252.336,1626.168,3983.282,NA,21364.486,1401.869,3433.864,NA,NA,No,NA,Yes,Not reported,not reported,No,NA,Yes,Missing: number of times the mice crossed the center,1,4,Fu_2023_TRANSPSY_Ex-ID,-0.005263192027344925,0.010160437263405502,-0.14841994486645263,0.2,-0.15368313689379756,0.21016043726340553
es077,Music prevents stress-induced depression and anxiety-like behavior in mice,10.1038/s41398-023-02606-z,Translational Psychiatry,Fu_2023_TRANSPSY,2023,ex002,NA,out001,NA,Mus musculus,Mouse,C57BL/6,Male,Young adult,>8weeks,Young adult,NA,Factorial,NA,Independent,Yes,Maternal separation,Induced,Maternal Separation,NA,Young adult,NA,28,NA,None,NA,Before,NA,Single trial,NA,1.5,NA,28,NA,Short,dark phase,mixed,"Baroque, classsical (eastern/western), romantic (?)",Mixed,Not reported,86-22008,1,ambiet sound,Not reported,NA,Not applicable,0,Anxiety,Open Field Test,NA,Time in center,time,s,light phase,2,Figure 1,Fu_2023_fig_1B,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,Yes,NA,10,14,1.202,0.314,0.993,NA,3.249,0.303,1.135,NA,NA,No,NA,Yes,Not reported,not reported,No,NA,Yes,Missing: number of times the mice crossed the center,1,4,Fu_2023_TRANSPSY_Ex-ID,-0.9943604205739475,0.0769648864564754,0.11656324877631344,0.09401709401709402,-0.8777971717976341,0.1709819804735694
es078,Music prevents stress-induced depression and anxiety-like behavior in mice,10.1038/s41398-023-02606-z,Translational Psychiatry,Fu_2023_TRANSPSY,2023,ex002,NA,out002,NA,Mus musculus,Mouse,C57BL/6,Male,Young adult,>8weeks,Young adult,NA,Factorial,NA,Independent,Yes,Maternal separation,Induced,Maternal Separation,NA,Young adult,NA,28,NA,None,NA,Before,NA,Single trial,NA,1.5,NA,28,NA,Short,dark phase,mixed,"Baroque, classsical (eastern/western), romantic (?)",Mixed,Not reported,86-22009,1,ambiet sound,Not reported,NA,Not applicable,0,Anxiety,Open Field Test,NA,Motion,distance,mm,light phase,2,Figure 1,Fu_2023_fig_1B_2,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,Yes,NA,10,14,15196.262,672.897,2127.888,NA,18056.075,336.449,1258.875,NA,NA,No,NA,Yes,Not reported,not reported,No,NA,Yes,Missing: number of times the mice crossed the center,1,4,Fu_2023_TRANSPSY_Ex-ID,-0.17243271669445703,0.00230796656123833,-0.5420054906232059,0.09401709401709402,-0.7144382073176629,0.09632506057833234
es079,Music prevents stress-induced depression and anxiety-like behavior in mice,10.1038/s41398-023-02606-z,Translational Psychiatry,Fu_2023_TRANSPSY,2023,ex001,NA,out003,NA,Mus musculus,Mouse,C57BL/6,Male,Young adult,>8weeks,Young adult,NA,Factorial,NA,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,1.5,NA,28,NA,Short,dark phase,mixed,"Baroque, classsical (eastern/western), romantic (?)",Mixed,Not reported,86-22010,1,ambiet sound,Not reported,NA,Not applicable,0,both,Novelty Suppressed Feeding (NSF),NA,Latency,time,s,light phase,2,Figure 1,Fu_2023_fig_1C,control_,music,control_music,No,NA,6,6,44.706,14.118,34.581,NA,35.966,8.739,21.407,NA,NA,No,NA,Yes,Not reported,not reported,No,NA,Yes,NA,1,4,Fu_2023_TRANSPSY_Ex-ID,-0.21753367305664037,0.15876632722058723,-0.4795864269418999,0.2,-0.2620527538852596,0.35876632722058727
es080,Music prevents stress-induced depression and anxiety-like behavior in mice,10.1038/s41398-023-02606-z,Translational Psychiatry,Fu_2023_TRANSPSY,2023,ex002,NA,out003,NA,Mus musculus,Mouse,C57BL/6,Male,Young adult,>8weeks,Young adult,NA,Factorial,NA,Independent,Yes,Maternal separation,Induced,Maternal Separation,NA,Young adult,NA,28,NA,None,NA,Before,NA,Single trial,NA,1.5,NA,28,NA,Short,dark phase,mixed,"Baroque, classsical (eastern/western), romantic (?)",Mixed,Not reported,86-22011,1,ambiet sound,Not reported,NA,Not applicable,0,both,Novelty Suppressed Feeding (NSF),NA,Latency,time,s,light phase,2,Figure 1,Fu_2023_fig_1C,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,No,NA,10,14,98.824,9.076,28.7,NA,48.067,4.706,17.608,NA,NA,No,NA,Yes,Not reported,not reported,No,NA,Yes,NA,1,4,Fu_2023_TRANSPSY_Ex-ID,-0.7207446192630592,0.01801923328687166,-0.5056377956354319,0.09401709401709402,0.21510682362762715,0.11203632730396568
es081,Music prevents stress-induced depression and anxiety-like behavior in mice,10.1038/s41398-023-02606-z,Translational Psychiatry,Fu_2023_TRANSPSY,2023,ex001,NA,out004,NA,Mus musculus,Mouse,C57BL/6,Male,Young adult,>8weeks,Young adult,NA,Factorial,NA,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,1.5,NA,28,NA,Short,dark phase,mixed,"Baroque, classsical (eastern/western), romantic (?)",Mixed,Not reported,86-22012,1,ambiet sound,Not reported,NA,Not applicable,0,Anxiety,Elevated Plus Maze,NA,Time in open arms,time,s,light phase,2,Figure 1,Fu_2023_fig_1D,control_,music,control_music,Yes,NA,6,6,68.278,10.545,25.829,NA,79.086,7.645,18.726,NA,NA,No,NA,Yes,Not reported,not reported,No,NA,Yes,NA,1,4,Fu_2023_TRANSPSY_Ex-ID,-0.14694826161520946,0.0331949120549594,-0.32158495916875846,0.2,-0.46853322078396786,0.2331949120549594
es082,Music prevents stress-induced depression and anxiety-like behavior in mice,10.1038/s41398-023-02606-z,Translational Psychiatry,Fu_2023_TRANSPSY,2023,ex002,NA,out004,NA,Mus musculus,Mouse,C57BL/6,Male,Young adult,>8weeks,Young adult,NA,Factorial,NA,Independent,Yes,Maternal separation,Induced,Maternal Separation,NA,Young adult,NA,28,NA,None,NA,Before,NA,Single trial,NA,1.5,NA,28,NA,Short,dark phase,mixed,"Baroque, classsical (eastern/western), romantic (?)",Mixed,Not reported,86-22013,1,ambiet sound,Not reported,NA,Not applicable,0,Anxiety,Elevated Plus Maze,NA,Time in open arms,time,s,light phase,2,Figure 1,Fu_2023_fig_1D,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,Yes,NA,10,14,26.626,2.636,8.336,NA,77.241,3.954,14.796,NA,NA,No,NA,Yes,Not reported,not reported,No,NA,Yes,"Missing: The number of entries into closed arms and the
time spent in each arm",1,4,Fu_2023_TRANSPSY_Ex-ID,-1.0650422221265428,0.012422735340343855,0.5566793718651792,0.09401709401709402,-0.5083628502613633,0.10643982935743788
es083,Music prevents stress-induced depression and anxiety-like behavior in mice,10.1038/s41398-023-02606-z,Translational Psychiatry,Fu_2023_TRANSPSY,2023,ex001,NA,out005,NA,Mus musculus,Mouse,C57BL/6,Male,Young adult,>8weeks,Young adult,NA,Factorial,NA,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,1.5,NA,28,NA,Short,dark phase,mixed,"Baroque, classsical (eastern/western), romantic (?)",Mixed,Not reported,86-22014,1,ambiet sound,Not reported,NA,Not applicable,0,Depression,Tail Suspension Test (TST),NA,Immobility,time,s,light phase,2,Figure 1,Fu_2023_fig_1E,control_,music,control_music,No,NA,6,6,136.774,13.548,33.187,NA,110.323,18.065,44.249,NA,NA,No,NA,Yes,Not reported,not reported,No,NA,Yes,"Missing: The number of entries into closed arms and the
time spent in each arm",1,4,Fu_2023_TRANSPSY_Ex-ID,-0.21491750191164558,0.03662410439909748,0.2876745393532292,0.2,0.5025920412648748,0.2366241043990975
es084,Music prevents stress-induced depression and anxiety-like behavior in mice,10.1038/s41398-023-02606-z,Translational Psychiatry,Fu_2023_TRANSPSY,2023,ex002,NA,out005,NA,Mus musculus,Mouse,C57BL/6,Male,Young adult,>8weeks,Young adult,NA,Factorial,NA,Independent,Yes,Maternal separation,Induced,Maternal Separation,NA,Young adult,NA,28,NA,None,NA,Before,NA,Single trial,NA,1.5,NA,28,NA,Short,dark phase,mixed,"Baroque, classsical (eastern/western), romantic (?)",Mixed,Not reported,86-22015,1,ambiet sound,Not reported,NA,Not applicable,0,Depression,Tail Suspension Test (TST),NA,Immobility,time,s,light phase,2,Figure 1,Fu_2023_fig_1E,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,No,NA,10,14,209.032,14.839,46.924,NA,94.194,13.548,50.693,NA,NA,No,NA,Yes,Not reported,not reported,No,NA,Yes,NA,1,4,Fu_2023_TRANSPSY_Ex-ID,-0.7971308650062754,0.025727374900535865,0.06016454526636848,0.09401709401709402,0.8572954102726438,0.11974446891762988
es085,Music prevents stress-induced depression and anxiety-like behavior in mice,10.1038/s41398-023-02606-z,Translational Psychiatry,Fu_2023_TRANSPSY,2023,ex001,NA,out006,NA,Mus musculus,Mouse,C57BL/6,Male,Young adult,>8weeks,Young adult,NA,Factorial,NA,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,1.5,NA,28,NA,Short,dark phase,mixed,"Baroque, classsical (eastern/western), romantic (?)",Mixed,Not reported,86-22016,1,ambiet sound,Not reported,NA,Not applicable,0,Depression,Sucrose Preference Test (SPT),NA,Consumption,percentage,%,light phase,2,Figure 1,Fu_2023_fig_1F,control_,music,control_music,Yes,NA,6,6,93.095,1.997,4.891,NA,91.597,2.246,5.502,NA,NA,No,NA,Yes,Not reported,not reported,No,NA,Yes,NA,1,4,Fu_2023_TRANSPSY_Ex-ID,0.021851639212453828,0.0019160258711540163,NA,NA,NA,NA
es086,Music prevents stress-induced depression and anxiety-like behavior in mice,10.1038/s41398-023-02606-z,Translational Psychiatry,Fu_2023_TRANSPSY,2023,ex002,NA,out006,NA,Mus musculus,Mouse,C57BL/6,Male,Young adult,>8weeks,Young adult,NA,Factorial,NA,Independent,Yes,Maternal separation,Induced,Maternal Separation,NA,Young adult,NA,28,NA,None,NA,Before,NA,Single trial,NA,1.5,NA,28,NA,Short,dark phase,mixed,"Baroque, classsical (eastern/western), romantic (?)",Mixed,Not reported,86-22017,1,ambiet sound,Not reported,NA,Not applicable,0,Depression,Sucrose Preference Test (SPT),NA,Consumption,percentage,%,light phase,2,Figure 1,Fu_2023_fig_1F,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,Yes,NA,10,14,53.91,3.245,10.26,NA,87.105,1.498,5.603,NA,NA,No,NA,Yes,Not reported,not reported,No,NA,Yes,NA,1,4,Fu_2023_TRANSPSY_Ex-ID,-0.3781634885929877,0.0019024783287253462,NA,NA,NA,NA
es087,Effect of music therapy on the developing central nervous system of rats,10.1037/pne0000087,Psychology & Neuroscience,Sampaio_2017_PSYNEURO,2017,ex001,NA,out001,NA,Rattus norvegicus,Rat,Wistar,Male,Juvenile,1 month,Juvenile,1 month,Repeated Measures,NA,Dependent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,T1,NA,4,NA,4,NA,Acute,both,classical,Mozart k.448,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,NA,Not applicable,0,Anxiety,Open Field Test,NA,Motion,count,N/A,Not reported,1,Figure 1,Sampaio_2017_fig_1_male,control_,music.therapy,control_music.therapy,Yes,NA,10,10,78.607,6.302,19.928,NA,74.295,2.819,8.915,NA,NA,No,NA,No,Not reported,not reported,No,NA,No,NA,1,3,Sampaio_2017_PSYNEURO_Ex-ID,0.05641709928554817,0.004824786408479182,-0.8043905266447757,0.08333333333333333,-0.7479734273592273,0.08815811974181251
es088,Effect of music therapy on the developing central nervous system of rats,10.1037/pne0000087,Psychology & Neuroscience,Sampaio_2017_PSYNEURO,2017,ex001,NA,out002,NA,Rattus norvegicus,Rat,Wistar,Male,Adolescent,2 months,Adolescent,2 months,Repeated Measures,NA,Dependent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,T2,NA,4,NA,4,NA,Acute,both,classical,Mozart k.448,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,NA,Not applicable,0,Anxiety,Open Field Test,NA,Motion,count,N/A,Not reported,1,Figure 1,Sampaio_2017_fig_1_male,control_,music.therapy,control_music.therapy,Yes,NA,10,10,56.385,7.96,25.172,NA,44.279,3.814,12.062,NA,NA,No,NA,No,Not reported,not reported,No,NA,No,NA,1,3,Sampaio_2017_PSYNEURO_Ex-ID,0.24169264165799614,0.015189535162922964,-0.7356722506358921,0.08333333333333333,-0.49397960897789606,0.0985228684962563
es089,Effect of music therapy on the developing central nervous system of rats,10.1037/pne0000087,Psychology & Neuroscience,Sampaio_2017_PSYNEURO,2017,ex001,NA,out003,NA,Rattus norvegicus,Rat,Wistar,Male,Young adult,3 months,Young adult,3 months,Repeated Measures,NA,Dependent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,T3,NA,4,NA,4,NA,Acute,both,classical,Mozart k.448,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,NA,Not applicable,0,Anxiety,Open Field Test,NA,Motion,count,N/A,Not reported,1,Figure 1,Sampaio_2017_fig_1_male,control_,music.therapy,control_music.therapy,Yes,NA,10,10,38.308,4.312,13.635,NA,30.846,3.483,11.013,NA,NA,No,NA,No,Not reported,not reported,No,NA,No,NA,1,3,Sampaio_2017_PSYNEURO_Ex-ID,0.2166516693579502,0.012707981968531139,-0.21356362311474492,0.08333333333333333,0.0030880462432052447,0.09604131530186447
es090,Effect of music therapy on the developing central nervous system of rats,10.1037/pne0000087,Psychology & Neuroscience,Sampaio_2017_PSYNEURO,2017,ex001,NA,out004,NA,Rattus norvegicus,Rat,Wistar,Male,Adult,4 months,Adult,4 months,Repeated Measures,NA,Dependent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,T4,NA,4,NA,4,NA,Acute,both,classical,Mozart k.448,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,NA,Not applicable,0,Anxiety,Open Field Test,NA,Motion,count,N/A,Not reported,1,Figure 1,Sampaio_2017_fig_1_male,control_,music.therapy,control_music.therapy,Yes,NA,10,10,25.373,3.98,12.586,NA,24.544,0.829,2.622,NA,NA,No,NA,No,Not reported,not reported,No,NA,No,NA,1,3,Sampaio_2017_PSYNEURO_Ex-ID,0.03321819133683483,0.02044759862948749,-1.568647699763234,0.08333333333333333,-1.535429508426399,0.10378093196282082
es091,Effect of music therapy on the developing central nervous system of rats,10.1037/pne0000087,Psychology & Neuroscience,Sampaio_2017_PSYNEURO,2017,ex002,NA,out001,NA,Rattus norvegicus,Rat,Wistar,Female,Juvenile,1 month,Juvenile,1 month,Repeated Measures,NA,Dependent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,T1,NA,4,NA,4,NA,Acute,both,classical,Mozart k.448,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,NA,Not applicable,0,Anxiety,Open Field Test,NA,Motion,count,N/A,Not reported,1,Figure 1,Sampaio_2017_fig_1_female,control_,music.therapy,control_music.therapy,Yes,NA,10,10,41.176,4.967,15.708,NA,41.83,2.484,7.854,NA,NA,No,NA,No,Not reported,not reported,No,NA,No,NA,1,3,Sampaio_2017_PSYNEURO_Ex-ID,-0.015758223103653525,0.010915663110226289,-0.6931471805599453,0.08333333333333333,-0.7089054036635989,0.09424899644355962
es092,Effect of music therapy on the developing central nervous system of rats,10.1037/pne0000087,Psychology & Neuroscience,Sampaio_2017_PSYNEURO,2017,ex002,NA,out002,NA,Rattus norvegicus,Rat,Wistar,Female,Adolescent,2 months,Adolescent,2 months,Repeated Measures,NA,Dependent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,T2,NA,4,NA,4,NA,Acute,both,classical,Mozart k.448,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,NA,Not applicable,0,Anxiety,Open Field Test,NA,Motion,count,N/A,Not reported,1,Figure 1,Sampaio_2017_fig_1_female,control_,music.therapy,control_music.therapy,Yes,NA,10,10,41.83,6.667,21.082,NA,33.595,9.02,28.523,NA,NA,No,NA,No,Not reported,not reported,No,NA,No,NA,1,3,Sampaio_2017_PSYNEURO_Ex-ID,0.21923653908199375,0.054694981667933136,0.30229118352190043,0.08333333333333333,0.5215277226038941,0.13802831500126647
