ES_ID,Title,DOI,Publish_in,Study_ID,Year,Ex_ID,Exp_note,Outcome_ID,Outcome_notes,Species_latin,Species_common,Strain,Sex,Lifestage_exposure,Lifestage_exposure_notes,Lifestage_testing,Lifestage_testing_notes,Experimental_design,Experimental_design_notes,Comparison_structure,Combined_manipulation,Combined_manipulation_notes,Induced behaviour,Inducing_procedure,Inducing_procedure_notes,Lifestage_inducing_procedure,Lifestage_inducing_procedure_ notes,Inducing_procedure_duration,Inducing_procedure_duration_notes,Experimental_procedures,Experimental_procedures_notes,Relative_timing,Timing_notes,Test_sequence,Test_sequence_notes,Exposure_duration,Exposure_notes,Exposure_span,Exposure_span_notes,Music_exposure_duration,Music_timing,Music_type,Music_notes,Meta_genre,Loudness,Frequency,Stimulus_reporting,Control_conditions,Control_loudness,Control_notes,Control_frequency,Control_stimulus_reporting,Outcome_type,Assay_type,Assay_type_notes,Measurment_variable,Data_type,Data_units,Measurement_timing,Timing_reporting,Data_source,Data_file,C_ID,E_ID,Comparison,Higher_better,Higher_better_notes,C_n,Ex_n,C_mean,C_SE,C_SD,C_CI,Ex_mean,Ex_SE,Ex_SD,Ex_CI,Stat_comment,ROB_guideline,ROB_guideline_name,ROB_blinding,ROB_randomization,ROB_rand_method,ROB_attrition,ROB_attrition_notes,ROB_selective_reporting,ROB_selective_reporting_notes,Overall_rob,Reporting_quality,Cohort_ID,lnRR,lnRR_var
es001,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,,out001,,Rattus norvegicus,Rat,Wistar,Male,Young adult,,Young adult,,Posttest-Only Control Group,,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,,Young adult,,28 days,,None,,Before,,Single trial,,1,,21,,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Elevated Plus Maze,,Open arm entries,count,N/A,Not reported,0,Figure 2,Krishnamurthy_2025_fig_2a,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,Yes,stressed animals in the EPM test had less open arm entries,8,8,0.005,0,0.05,,2.002,0.372,1.051,,,No,,No,Yes,not reported,No,,No,,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,-5.992464047441065,12.534449847105943
es002,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,,out002,,Rattus norvegicus,Rat,Wistar,Male,Young adult,,Young adult,,Posttest-Only Control Group,,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,,Young adult,,28 days,,None,,Before,,Single trial,,1,,21,,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Elevated Plus Maze,,Closed arm entries,count,N/A,Not reported,0,Figure 2,Krishnamurthy_2025_fig_2b,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,No,,8,8,5.018,1.598,4.52,,2.625,0.446,1.263,,,No,,No,Yes,not reported,No,,No,,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,-0.6479505519006433,0.13035776441361313
es003,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,,out003,,Rattus norvegicus,Rat,Wistar,Male,Young adult,,Young adult,,Posttest-Only Control Group,,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,,Young adult,,28 days,,None,,Before,,Single trial,,1,,21,,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Elevated Plus Maze,,Time in open arms,time,s,Not reported,0,Figure 2,Krishnamurthy_2025_fig_2c,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,Yes,,8,8,0.005,0,0.05,,31.378,8.288,23.443,,,No,,No,Yes,not reported,No,,No,,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,-8.7444243769588,12.569772754871515
es004,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,,out004,,Rattus norvegicus,Rat,Wistar,Male,Young adult,,Young adult,,Posttest-Only Control Group,,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,,Young adult,,28 days,,None,,Before,,Single trial,,1,,21,,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Elevated Plus Maze,,Time in closed arms,time,s,Not reported,0,Figure 2,Krishnamurthy_2025_fig_2d,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,No,reversal of anxiety behaviours…less time in closed arms,8,8,299.892,0.753,2.131,,256.189,7.158,20.247,,,No,,No,Yes,not reported,No,,No,,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,-0.15750695650662289,7.870588871651356e-4
es005,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,,out005,,Rattus norvegicus,Rat,Wistar,Male,Young adult,,Young adult,,Posttest-Only Control Group,,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,,Young adult,,28 days,,None,,Before,,Single trial,,1,,21,,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Elevated Plus Maze,,Head dips,count,N/A,Not reported,0,Figure 2,Krishnamurthy_2025_fig_2e,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,No,The number of head-dips and rearing in stressed animals were lesser,8,8,0.005,0,0.05,,3.256,0.461,1.305,,,No,,No,Yes,not reported,No,,No,,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,6.47881681468833,12.520079932285286
es006,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,,out006,,Rattus norvegicus,Rat,Wistar,Male,Young adult,,Young adult,,Posttest-Only Control Group,,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,,Young adult,,28 days,,None,,Before,,Single trial,,1,,21,,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Elevated Plus Maze,,Rearings,count,N/A,Not reported,0,Figure 2,Krishnamurthy_2025_fig_2f,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,No,,8,8,7.835,0.979,2.77,,16.431,1.061,3.001,,,No,,No,Yes,not reported,No,,No,,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,0.7405689186617099,0.019793763868537696
es007,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,,out001,,Rattus norvegicus,Rat,Wistar,Male,Young adult,,Young adult,,Posttest-Only Control Group,,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,,Young adult,,28 days,,None,,Before,,T1,day 1,1,,21,,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Depression,Sucrose Preference Test (SPT),,Consumption,percentage,%,Not reported,0,Figure 3,Krishnamurthy_2025_fig_3a,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,Yes,,8,8,20.423,3.169,8.963,,72.418,4.812,13.611,,,No,,No,Yes,not reported,No,,No,,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,-0.7750404024135729,0.00982282090232135
es008,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,,out002,,Rattus norvegicus,Rat,Wistar,Male,Young adult,,Young adult,,Posttest-Only Control Group,,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,,Young adult,,28 days,,None,,Before,,T2,day 2,1,,21,,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Depression,Sucrose Preference Test (SPT),,Consumption,percentage,%,Not reported,0,Figure 3,Krishnamurthy_2025_fig_3b,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,Yes,,8,8,36.504,7.848,22.197,,73.603,4.043,11.435,,,No,,No,Yes,not reported,No,,No,,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,-0.46345237353627333,0.017761378302888358
es009,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,,out003,,Rattus norvegicus,Rat,Wistar,Male,Young adult,,Young adult,,Posttest-Only Control Group,,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,,Young adult,,28 days,,None,,Before,,T3,day 3,1,,21,,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Depression,Sucrose Preference Test (SPT),,Consumption,percentage,%,Not reported,0,Figure 3,Krishnamurthy_2025_fig_3c,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,Yes,,8,8,36.471,8.627,24.402,,73.595,6.144,17.377,,,No,,No,Yes,not reported,No,,No,,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,-0.46389284773993583,0.023669853453327873
es010,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,,out001,,Rattus norvegicus,Rat,Wistar,Male,Young adult,,Young adult,,Posttest-Only Control Group,,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,,Young adult,,28 days,,None,,Before,,Single trial,,1,,21,,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Depression,Forced Swim Test (FST),,Immobility,time,s,Not reported,0,Figure 4,Krishnamurthy_2025_fig_4,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,No,,8,8,191.061,23.743,67.155,,7.542,0.838,2.37,,,No,,No,Yes,not reported,No,,No,,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,-3.232105349949919,0.027786045590066373
es011,Classical Music and Environmental Enrichment Enhanced Spatial Memory and Learning and Increased Mouse Innate Tendency to Avoid Open Spaces,10.31080/ecne.2021.13.00837,EC Neurology,Freitas_2020_ECNE,2020,ex001,,out001,,Mus musculus,Mouse,BALB/c,Female,Mixed,Juvenile to young adult,Young adult,,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,12,10 min silent invertval every 30 min of music,39,3 times a week during 3 months,Medium,dark phase,classical,Western classicals,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Open Field Test,,Motion,distance,m,Not reported,1,Figure 1,Freitas_2020_fig_1A,IENM_,IECM,IENM_IECM,Yes,,8,8,8.296,0.605,1.712,,9.17,0.964,2.727,,,No,,No,Not reported,not reported,No,,No,,1,3,Freitas_2020_ECNE_Ex-ID,-0.10016381534114743,0.016377853008473525
es012,Classical Music and Environmental Enrichment Enhanced Spatial Memory and Learning and Increased Mouse Innate Tendency to Avoid Open Spaces,10.31080/ecne.2021.13.00837,EC Neurology,Freitas_2020_ECNE,2020,ex001,,out002,,Mus musculus,Mouse,BALB/c,Female,Mixed,Juvenile to young adult,Young adult,,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,12,10 min silent invertval every 30 min of music,39,3 times a week during 3 months,Medium,dark phase,classical,Western classicals,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Open Field Test,,Crossed lines,count,N/A,Not reported,1,Figure 1,Freitas_2020_fig_1B,IENM_,IECM,IENM_IECM,Yes,,8,8,114.329,8.748,24.743,,107.391,11.463,32.422,,,No,,No,Not reported,not reported,No,,No,,1,3,Freitas_2020_ECNE_Ex-ID,0.06260387722417803,0.017248076227504586
es013,Classical Music and Environmental Enrichment Enhanced Spatial Memory and Learning and Increased Mouse Innate Tendency to Avoid Open Spaces,10.31080/ecne.2021.13.00837,EC Neurology,Freitas_2020_ECNE,2020,ex001,,out003,,Mus musculus,Mouse,BALB/c,Female,Mixed,Juvenile to young adult,Young adult,,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,12,10 min silent invertval every 30 min of music,39,3 times a week during 3 months,Medium,dark phase,classical,Western classicals,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Open Field Test,,Immobility,time,s,Not reported,1,Figure 1,Freitas_2020_fig_1C,IENM_,IECM,IENM_IECM,No,,8,8,76.54,8.358,23.639,,103.372,9.897,27.994,,,No,,No,Not reported,not reported,No,,No,,1,3,Freitas_2020_ECNE_Ex-ID,0.30052065236896724,0.02109030279402641
es014,Classical Music and Environmental Enrichment Enhanced Spatial Memory and Learning and Increased Mouse Innate Tendency to Avoid Open Spaces,10.31080/ecne.2021.13.00837,EC Neurology,Freitas_2020_ECNE,2020,ex001,,out004,,Mus musculus,Mouse,BALB/c,Female,Mixed,Juvenile to young adult,Young adult,,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,12,10 min silent invertval every 30 min of music,39,3 times a week during 3 months,Medium,dark phase,classical,Western classicals,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Open Field Test,Preference index,Periphery vs Center,time,index,Not reported,1,Figure 1,Freitas_2020_fig_1D,IENM_,IECM,IENM_IECM,No,Higher values = more time in periphey; ..EE-CM animals occupied the center of the apparatus longer than IE-CM animals,8,8,0.414,0.036,0.102,,0.517,0.056,0.159,,,No,,No,Not reported,not reported,No,,No,,1,3,Freitas_2020_ECNE_Ex-ID,0.22217690068311474,0.019410568771958937
es015,Classical Music and Environmental Enrichment Enhanced Spatial Memory and Learning and Increased Mouse Innate Tendency to Avoid Open Spaces,10.31080/ecne.2021.13.00837,EC Neurology,Freitas_2020_ECNE,2020,ex002,,out001,,Mus musculus,Mouse,BALB/c,Female,Mixed,Juvenile to young adult,Young adult,,Factorial,,Independent,Yes,Environmental enrichment,Innate,,,,,,,None,,Before,,Single trial,,12,10 min silent invertval every 30 min of music,39,3 times a week during 3 months,Medium,dark phase,classical,Western classicals,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Open Field Test,,Motion,distance,m,Not reported,1,Figure 1,Freitas_2020_fig_1A,EENM_,EECM,EENM_EECM,Yes,,8,8,11.076,0.471,1.332,,9.552,0.359,1.015,,,No,,No,Not reported,not reported,No,,No,,1,3,Freitas_2020_ECNE_Ex-ID,0.14803004865846928,0.0032192200107866594
es016,Classical Music and Environmental Enrichment Enhanced Spatial Memory and Learning and Increased Mouse Innate Tendency to Avoid Open Spaces,10.31080/ecne.2021.13.00837,EC Neurology,Freitas_2020_ECNE,2020,ex002,,out002,,Mus musculus,Mouse,BALB/c,Female,Mixed,Juvenile to young adult,Young adult,,Factorial,,Independent,Yes,Environmental enrichment,Innate,,,,,,,None,,Before,,Single trial,,12,10 min silent invertval every 30 min of music,39,3 times a week during 3 months,Medium,dark phase,classical,Western classicals,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Open Field Test,,Crossed lines,count,N/A,Not reported,1,Figure 1,Freitas_2020_fig_1B,EENM_,EECM,EENM_EECM,Yes,,8,8,146.908,6.033,17.064,,134.842,5.43,15.358,,,No,,No,Not reported,not reported,No,,No,,1,3,Freitas_2020_ECNE_Ex-ID,0.0857028178627153,0.0033080233483671773
es017,Classical Music and Environmental Enrichment Enhanced Spatial Memory and Learning and Increased Mouse Innate Tendency to Avoid Open Spaces,10.31080/ecne.2021.13.00837,EC Neurology,Freitas_2020_ECNE,2020,ex002,,out003,,Mus musculus,Mouse,BALB/c,Female,Mixed,Juvenile to young adult,Young adult,,Factorial,,Independent,Yes,Environmental enrichment,Innate,,,,,,,None,,Before,,Single trial,,12,10 min silent invertval every 30 min of music,39,3 times a week during 3 months,Medium,dark phase,classical,Western classicals,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Open Field Test,,Immobility,time,s,Not reported,1,Figure 1,Freitas_2020_fig_1C,EENM_,EECM,EENM_EECM,No,,8,8,71.041,7.038,19.907,,85.777,6.378,18.041,,,No,,No,Not reported,not reported,No,,No,,1,3,Freitas_2020_ECNE_Ex-ID,0.18849373012851794,0.015344845113783288
es018,Classical Music and Environmental Enrichment Enhanced Spatial Memory and Learning and Increased Mouse Innate Tendency to Avoid Open Spaces,10.31080/ecne.2021.13.00837,EC Neurology,Freitas_2020_ECNE,2020,ex002,,out004,,Mus musculus,Mouse,BALB/c,Female,Mixed,Juvenile to young adult,Young adult,,Factorial,,Independent,Yes,Environmental enrichment,Innate,,,,,,,None,,Before,,Single trial,,12,10 min silent invertval every 30 min of music,39,3 times a week during 3 months,Medium,dark phase,classical,Western classicals,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Open Field Test,,Periphery vs Center,percentage,%,Not reported,1,Figure 1,Freitas_2020_fig_1D,EENM_,EECM,EENM_EECM,No,Higher values = more time in periphey; ..EE-CM animals occupied the center of the apparatus longer than IE-CM animals,8,8,0.293,0.04,0.114,,0.347,0.027,0.076,,,No,,No,Not reported,not reported,No,,No,,1,3,Freitas_2020_ECNE_Ex-ID,0.09646982816549578,0.008000261727156722
es019,Classical Music and Environmental Enrichment Enhanced Spatial Memory and Learning and Increased Mouse Innate Tendency to Avoid Open Spaces,10.31080/ecne.2021.13.00837,EC Neurology,Freitas_2020_ECNE,2020,ex001,,out001,,Mus musculus,Mouse,BALB/c,Female,Mixed,Juvenile to young adult,Young adult,,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,12,10 min silent invertval every 30 min of music,39,3 times a week during 3 months,Medium,dark phase,classical,Western classicals,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Elevated Plus Maze,Preference index,Closed vs Open arms,time,index,Not reported,1,Figure 2,Freitas_2020_fig_2A,IENM_,IECM,IENM_IECM,No,Negative = less anxiety (open arms),8,8,0.41,0.099,0.28,,0.395,0.073,0.206,,,No,,No,Not reported,not reported,No,,No,,1,3,Freitas_2020_ECNE_Ex-ID,-0.03727139479723154,0.09229638853655392
es020,Classical Music and Environmental Enrichment Enhanced Spatial Memory and Learning and Increased Mouse Innate Tendency to Avoid Open Spaces,10.31080/ecne.2021.13.00837,EC Neurology,Freitas_2020_ECNE,2020,ex001,,out002,,Mus musculus,Mouse,BALB/c,Female,Mixed,Juvenile to young adult,Young adult,,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,12,10 min silent invertval every 30 min of music,39,3 times a week during 3 months,Medium,dark phase,classical,Western classicals,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Elevated Plus Maze,,Immobility,time,s,Not reported,1,Figure 2,Freitas_2020_fig_2C,IENM_,IECM,IENM_IECM,No,,8,8,68.314,13.808,39.055,,207.485,12.718,35.972,,,No,,No,Not reported,not reported,No,,No,,1,3,Freitas_2020_ECNE_Ex-ID,1.1109443242914556,0.04461208577902118
es021,Classical Music and Environmental Enrichment Enhanced Spatial Memory and Learning and Increased Mouse Innate Tendency to Avoid Open Spaces,10.31080/ecne.2021.13.00837,EC Neurology,Freitas_2020_ECNE,2020,ex001,,out003,,Mus musculus,Mouse,BALB/c,Female,Mixed,Juvenile to young adult,Young adult,,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,12,10 min silent invertval every 30 min of music,39,3 times a week during 3 months,Medium,dark phase,classical,Western classicals,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Elevated Plus Maze,,Time in center,time,s,Not reported,1,Figure 2,Freitas_2020_fig_2D,IENM_,IECM,IENM_IECM,No,,8,8,59.665,4.992,14.121,,45.297,5.845,16.531,,,No,,No,Not reported,not reported,No,,No,,1,3,Freitas_2020_ECNE_Ex-ID,-0.27550477869117673,0.02364995038127985
es023,Classical Music and Environmental Enrichment Enhanced Spatial Memory and Learning and Increased Mouse Innate Tendency to Avoid Open Spaces,10.31080/ecne.2021.13.00837,EC Neurology,Freitas_2020_ECNE,2020,ex002,,out002,,Mus musculus,Mouse,BALB/c,Female,Mixed,Juvenile to young adult,Young adult,,Factorial,,Independent,Yes,Environmental enrichment,Innate,,,,,,,None,,Before,,Single trial,,12,10 min silent invertval every 30 min of music,39,3 times a week during 3 months,Medium,dark phase,classical,Western classicals,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Elevated Plus Maze,,Immobility,time,s,Not reported,1,Figure 2,Freitas_2020_fig_2C,EENM_,EECM,EENM_EECM,No,,8,8,82.849,7.994,22.611,,122.093,10.538,29.805,,,No,,No,Not reported,not reported,No,,No,,1,3,Freitas_2020_ECNE_Ex-ID,0.38776337562220453,0.016759693293462774
es024,Classical Music and Environmental Enrichment Enhanced Spatial Memory and Learning and Increased Mouse Innate Tendency to Avoid Open Spaces,10.31080/ecne.2021.13.00837,EC Neurology,Freitas_2020_ECNE,2020,ex002,,out003,,Mus musculus,Mouse,BALB/c,Female,Mixed,Juvenile to young adult,Young adult,,Factorial,,Independent,Yes,Environmental enrichment,Innate,,,,,,,None,,Before,,Single trial,,12,10 min silent invertval every 30 min of music,39,3 times a week during 3 months,Medium,dark phase,classical,Western classicals,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Elevated Plus Maze,,Time in center,time,s,Not reported,1,Figure 2,Freitas_2020_fig_2D,EENM_,EECM,EENM_EECM,No,,8,8,51.75,7.184,20.32,,37.504,3.896,11.021,,,No,,No,Not reported,not reported,No,,No,,1,3,Freitas_2020_ECNE_Ex-ID,-0.32197683819093115,0.03006679893327422
es025,Music Alleviates Learning and Memory Impairments in an Animal Model of Post-Traumatic Stress Disorder,10.33263/BRIAC111.77757784,Biointerface Research in Applied Chemistry,Saghari_2021_BIOINTERFACE,2021,ex001,,out001,,Rattus norvegicus,Rat,Wistar,Male,Adult,,Adult,,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,12,,7,0700h to 1700h,Acute,light phase,classical,Western classical: Mozart k.448,Western Art Music / Orchestral,Not reported,Not reported,0,ambiet sound,Not reported,,Not applicable,0,Anxiety,Open Field Test,,Time in inner zone,time,s,light phase,2,Figure 1,Saghari_2021_fig_1A,control_,music,control_music,Yes,,14,14,13.5,1.037,3.878,,15.447,0.834,3.122,,,No,,No,Yes,not reported,No,,No,,2,4,Saghari_2021_BIOINTERFACE_Ex-ID,-0.13472512428773026,0.008811893775649848
es026,Music Alleviates Learning and Memory Impairments in an Animal Model of Post-Traumatic Stress Disorder,10.33263/BRIAC111.77757784,Biointerface Research in Applied Chemistry,Saghari_2021_BIOINTERFACE,2021,ex001,,out002,,Rattus norvegicus,Rat,Wistar,Male,Adult,,Adult,,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,12,,7,0700h to 1700h,Acute,light phase,classical,Western classical: Mozart k.448,Western Art Music / Orchestral,Not reported,Not reported,0,ambiet sound,Not reported,,Not applicable,0,Anxiety,Open Field Test,,Motion,distance,cm,light phase,2,Figure 1,Saghari_2021_fig_1B,control_,music,control_music,Yes,,14,14,2567.568,117.117,438.212,,2549.55,99.099,370.795,,,No,,No,Not reported,not reported,No,,No,,1,3,Saghari_2021_BIOINTERFACE_Ex-ID,0.007042274368021785,0.0035914579849313094
es027,Music Alleviates Learning and Memory Impairments in an Animal Model of Post-Traumatic Stress Disorder,10.33263/BRIAC111.77757784,Biointerface Research in Applied Chemistry,Saghari_2021_BIOINTERFACE,2021,ex001,,out003,,Rattus norvegicus,Rat,Wistar,Male,Adult,,Adult,,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,12,,7,0700h to 1700h,Acute,light phase,classical,Western classical: Mozart k.448,Western Art Music / Orchestral,Not reported,Not reported,0,ambiet sound,Not reported,,Not applicable,0,Anxiety,Open Field Test,,Rearing,count,N/A,light phase,2,Figure 1,Saghari_2021_fig_1C,control_,music,control_music,Yes,,14,14,14.617,0.505,1.889,,15.475,0.505,1.889,,,No,,No,Yes,not reported,No,,No,,2,4,Saghari_2021_BIOINTERFACE_Ex-ID,-0.05704058366350398,0.0022572678954690104
es028,Music Alleviates Learning and Memory Impairments in an Animal Model of Post-Traumatic Stress Disorder,10.33263/BRIAC111.77757784,Biointerface Research in Applied Chemistry,Saghari_2021_BIOINTERFACE,2021,ex001,,out004,,Rattus norvegicus,Rat,Wistar,Male,Adult,,Adult,,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,12,,7,0700h to 1700h,Acute,light phase,classical,Western classical: Mozart k.448,Western Art Music / Orchestral,Not reported,Not reported,0,ambiet sound,Not reported,,Not applicable,0,Anxiety,Open Field Test,,Grooming,count,N/A,light phase,2,Figure 1,Saghari_2021_fig_1D,control_,music,control_music,Yes,,14,14,4.289,0.276,1.032,,3.985,0.228,0.854,,,No,,No,Not reported,not reported,No,,No,,1,3,Saghari_2021_BIOINTERFACE_Ex-ID,0.07351629329256494,0.007415848706924905
