ES_ID,Title,DOI,Publish_in,Study_ID,Year,Ex_ID,Exp_note,Outcome_ID,Outcome_notes,Species_latin,Species_common,Strain,Sex,Lifestage_exposure,Lifestage_exposure_notes,Lifestage_testing,Lifestage_testing_notes,Experimental_design,Experimental_design_notes,Comparison_structure,Combined_manipulation,Combined_manipulation_notes,Induced behaviour,Inducing_procedure,Inducing_procedure_notes,Lifestage_inducing_procedure,Lifestage_inducing_procedure_ notes,Inducing_procedure_duration,Inducing_procedure_duration_notes,Experimental_procedures,Experimental_procedures_notes,Relative_timing,Timing_notes,Test_sequence,Test_sequence_notes,Exposure_duration,Exposure_notes,Exposure_span,Exposure_span_notes,Music_exposure_duration,Music_timing,Music_type,Music_notes,Meta_genre,Loudness,Frequency,Stimulus_reporting,Control_conditions,Control_loudness,Control_notes,Control_frequency,Control_stimulus_reporting,Outcome_type,Assay_type,Assay_type_notes,Measurment_variable,Data_type,Data_units,Measurement_timing,Timing_reporting,Data_source,Data_file,C_ID,E_ID,Comparison,Higher_better,Higher_better_notes,C_n,Ex_n,C_mean,C_SE,C_SD,C_CI,Ex_mean,Ex_SE,Ex_SD,Ex_CI,Stat_comment,ROB_guideline,ROB_guideline_name,ROB_blinding,ROB_randomization,ROB_rand_method,ROB_attrition,ROB_attrition_notes,ROB_selective_reporting,ROB_selective_reporting_notes,Overall_rob,Reporting_quality,Cohort_ID,lnRR,lnRR_var
es297,Anxiolytic effect of music depends on ovarian steroid in female mice,10.1016/j.bbr.2007.01.010,Behavioural Brain Research,Chikahisa_2007_BBR,2007,ex007,,out006,,Mus musculus,Mouse,Slc:ddY,Female,Young adult,11 w to 13 w,Young adult,,Factorial,,Independent,Yes,,Innate,,,,,,,Sham,sesame oil/vehicle,Both,,Single trial,,0.6,,1,,Acute,light phase,classical,Mozart k.448,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,55,,Not applicable,2,Anxiety,Elevated Plus Maze,,Open arm entries,count,N/A,light phase,2,Figure 8,Chikahisa_2007_fig_8D,SILENCE_,MUSIC,SILENCE_MUSIC,Yes,,13.5,13.5,8.553,1.258,4.535,,7.767,1.478,5.329,,,No,,No,Yes,not reported,Yes,,Yes,don’t mention attrition,1,6,Chikahisa_2007_BBR_Ex-ID,0.09639810916113441,0.05569487422957997
es298,Anxiolytic effect of music depends on ovarian steroid in female mice,10.1016/j.bbr.2007.01.010,Behavioural Brain Research,Chikahisa_2007_BBR,2007,ex008,,out003,,Mus musculus,Mouse,Slc:ddY,Female,Young adult,11 w to 13 w,Young adult,,Factorial,,Independent,Yes,,Innate,,,,,,,Sham,sesame oil/vehicle,Both,,Single trial,,0.6,,1,,Acute,light phase,classical,Mozart k.448,Western Art Music / Orchestral,65-75,Not reported,1,white noise,70,,Not reported,1,Anxiety,Elevated Plus Maze,,Motion,distance,cm,light phase,2,Figure 8,Chikahisa_2007_fig_8A,WHITENOISE_,MUSIC,WHITENOISE_MUSIC,Yes,,13.5,13.5,1266.885,97.049,349.916,,1088.525,115.41,416.116,,,No,,No,Yes,not reported,Yes,,Yes,don’t mention attrition,1,5,Chikahisa_2007_BBR_Ex-ID,0.15173756281652342,0.016475682974497786
es299,Anxiolytic effect of music depends on ovarian steroid in female mice,10.1016/j.bbr.2007.01.010,Behavioural Brain Research,Chikahisa_2007_BBR,2007,ex008,,out004,,Mus musculus,Mouse,Slc:ddY,Female,Young adult,11 w to 13 w,Young adult,,Factorial,,Independent,Yes,,Innate,,,,,,,Sham,sesame oil/vehicle,Both,,Single trial,,0.6,,1,,Acute,light phase,classical,Mozart k.448,Western Art Music / Orchestral,65-75,Not reported,1,white noise,70,,Not reported,1,Anxiety,Elevated Plus Maze,,Distance open arm,distance,cm,light phase,2,Figure 8,Chikahisa_2007_fig_8B,WHITENOISE_,MUSIC,WHITENOISE_MUSIC,Yes,,13.5,13.5,238.765,39.108,141.006,,221.612,40.48,145.954,,,No,,No,Yes,not reported,Yes,,Yes,don’t mention attrition,1,5,Chikahisa_2007_BBR_Ex-ID,0.07455169958089188,0.05796457284144249
es300,Anxiolytic effect of music depends on ovarian steroid in female mice,10.1016/j.bbr.2007.01.010,Behavioural Brain Research,Chikahisa_2007_BBR,2007,ex008,,out005,,Mus musculus,Mouse,Slc:ddY,Female,Young adult,11 w to 13 w,Young adult,,Factorial,,Independent,Yes,,Innate,,,,,,,Sham,sesame oil/vehicle,Both,,Single trial,,0.6,,1,,Acute,light phase,classical,Mozart k.448,Western Art Music / Orchestral,65-75,Not reported,1,white noise,70,,Not reported,1,Anxiety,Elevated Plus Maze,,Time in open arms,percentage,%,light phase,2,Figure 8,Chikahisa_2007_fig_8C,WHITENOISE_,MUSIC,WHITENOISE_MUSIC,Yes,,13.5,13.5,14.641,2.344,8.453,,14.928,2.679,9.661,,,No,,No,Yes,not reported,Yes,,Yes,don’t mention attrition,1,5,Chikahisa_2007_BBR_Ex-ID,-0.010243892339035908,0.01551642921101696
es301,Anxiolytic effect of music depends on ovarian steroid in female mice,10.1016/j.bbr.2007.01.010,Behavioural Brain Research,Chikahisa_2007_BBR,2007,ex008,,out006,,Mus musculus,Mouse,Slc:ddY,Female,Young adult,11 w to 13 w,Young adult,,Factorial,,Independent,Yes,,Innate,,,,,,,Sham,sesame oil/vehicle,Both,,Single trial,,0.6,,1,,Acute,light phase,classical,Mozart k.448,Western Art Music / Orchestral,65-75,Not reported,1,white noise,70,,Not reported,1,Anxiety,Elevated Plus Maze,,Open arm entries,count,N/A,light phase,2,Figure 8,Chikahisa_2007_fig_8D,WHITENOISE_,MUSIC,WHITENOISE_MUSIC,Yes,,13.5,13.5,10.252,1.447,5.216,,7.767,1.478,5.329,,,No,,No,Yes,not reported,Yes,,Yes,don’t mention attrition,1,5,Chikahisa_2007_BBR_Ex-ID,0.2775888190643145,0.05404443568349605
es302,Anxiolytic effect of music depends on ovarian steroid in female mice,10.1016/j.bbr.2007.01.010,Behavioural Brain Research,Chikahisa_2007_BBR,2007,ex007,,out007,,Mus musculus,Mouse,Slc:ddY,Female,Young adult,11 w to 13 w,Young adult,,Factorial,,Independent,Yes,,Innate,,,,,,,Sham,sesame oil/vehicle,Both,,Single trial,,0.6,,1,,Acute,light phase,classical,Mozart k.448,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,55,,Not applicable,2,Anxiety,Light-Dark Box,,Time in light area,time,s,light phase,2,Figure 9,Chikahisa_2007_fig_9A,SILENCE_,MUSIC,SILENCE_MUSIC,Yes,,13.5,13.5,46.783,8.182,29.5,,86.224,11.119,40.09,,,No,,No,Yes,not reported,Yes,,Yes,don’t mention attrition,1,6,Chikahisa_2007_BBR_Ex-ID,-0.6114286721212738,0.0454666545045873
es303,Anxiolytic effect of music depends on ovarian steroid in female mice,10.1016/j.bbr.2007.01.010,Behavioural Brain Research,Chikahisa_2007_BBR,2007,ex007,,out008,,Mus musculus,Mouse,Slc:ddY,Female,Young adult,11 w to 13 w,Young adult,,Factorial,,Independent,Yes,,Innate,,,,,,,Sham,sesame oil/vehicle,Both,,Single trial,,0.6,,1,,Acute,light phase,classical,Mozart k.448,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,55,,Not applicable,2,Anxiety,Light-Dark Box,,latency,time,s,light phase,2,Figure 9,Chikahisa_2007_fig_9B,SILENCE_,MUSIC,SILENCE_MUSIC,No,,13.5,13.5,75.696,29.777,107.364,,33.952,22.263,80.272,,,No,,No,Yes,not reported,Yes,,Yes,don’t mention attrition,1,6,Chikahisa_2007_BBR_Ex-ID,-0.8017775564572196,0.5630780372743724
es304,Anxiolytic effect of music depends on ovarian steroid in female mice,10.1016/j.bbr.2007.01.010,Behavioural Brain Research,Chikahisa_2007_BBR,2007,ex007,,out009,,Mus musculus,Mouse,Slc:ddY,Female,Young adult,11 w to 13 w,Young adult,,Factorial,,Independent,Yes,,Innate,,,,,,,Sham,sesame oil/vehicle,Both,,Single trial,,0.6,,1,,Acute,light phase,classical,Mozart k.448,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,55,,Not applicable,2,Anxiety,Light-Dark Box,,transitions,count,N/A,light phase,2,Figure 9,Chikahisa_2007_fig_9C,SILENCE_,MUSIC,SILENCE_MUSIC,Yes,,13.5,13.5,10.085,1.907,6.875,,13.008,1.737,6.264,,,No,,No,Yes,not reported,Yes,,Yes,don’t mention attrition,1,6,Chikahisa_2007_BBR_Ex-ID,-0.2545153813992795,0.05160093466150341
es305,Anxiolytic effect of music depends on ovarian steroid in female mice,10.1016/j.bbr.2007.01.010,Behavioural Brain Research,Chikahisa_2007_BBR,2007,ex008,,out007,,Mus musculus,Mouse,Slc:ddY,Female,Young adult,11 w to 13 w,Young adult,,Factorial,,Independent,Yes,,Innate,,,,,,,Sham,sesame oil/vehicle,Both,,Single trial,,0.6,,1,,Acute,light phase,classical,Mozart k.448,Western Art Music / Orchestral,65-75,Not reported,1,white noise,70,,Not reported,1,Anxiety,Light-Dark Box,,Time in light area,time,s,light phase,2,Figure 9,Chikahisa_2007_fig_9A,WHITENOISE_,MUSIC,WHITENOISE_MUSIC,Yes,,13.5,13.5,45.524,6.503,23.449,,86.224,11.119,40.09,,,No,,No,Yes,not reported,Yes,,Yes,don’t mention attrition,1,5,Chikahisa_2007_BBR_Ex-ID,-0.6387089017714975,0.03566657856988045
es306,Anxiolytic effect of music depends on ovarian steroid in female mice,10.1016/j.bbr.2007.01.010,Behavioural Brain Research,Chikahisa_2007_BBR,2007,ex008,,out008,,Mus musculus,Mouse,Slc:ddY,Female,Young adult,11 w to 13 w,Young adult,,Factorial,,Independent,Yes,,Innate,,,,,,,Sham,sesame oil/vehicle,Both,,Single trial,,0.6,,1,,Acute,light phase,classical,Mozart k.448,Western Art Music / Orchestral,65-75,Not reported,1,white noise,70,,Not reported,1,Anxiety,Light-Dark Box,,latency,time,s,light phase,2,Figure 9,Chikahisa_2007_fig_9B,WHITENOISE_,MUSIC,WHITENOISE_MUSIC,No,,13.5,13.5,44.249,17.811,64.218,,33.952,22.263,80.272,,,No,,No,Yes,not reported,Yes,,Yes,don’t mention attrition,1,5,Chikahisa_2007_BBR_Ex-ID,-0.26488500989695113,0.5700777157299514
es307,Anxiolytic effect of music depends on ovarian steroid in female mice,10.1016/j.bbr.2007.01.010,Behavioural Brain Research,Chikahisa_2007_BBR,2007,ex008,,out009,,Mus musculus,Mouse,Slc:ddY,Female,Young adult,11 w to 13 w,Young adult,,Factorial,,Independent,Yes,,Innate,,,,,,,Sham,sesame oil/vehicle,Both,,Single trial,,0.6,,1,,Acute,light phase,classical,Mozart k.448,Western Art Music / Orchestral,65-75,Not reported,1,white noise,70,,Not reported,1,Anxiety,Light-Dark Box,,transitions,count,N/A,light phase,2,Figure 9,Chikahisa_2007_fig_9C,WHITENOISE_,MUSIC,WHITENOISE_MUSIC,Yes,,13.5,13.5,11.017,1.61,5.806,,13.008,1.737,6.264,,,No,,No,Yes,not reported,Yes,,Yes,don’t mention attrition,1,5,Chikahisa_2007_BBR_Ex-ID,-0.16612501844752683,0.037749862763229
es308,Anxiolytic effect of music depends on ovarian steroid in female mice,10.1016/j.bbr.2007.01.010,Behavioural Brain Research,Chikahisa_2007_BBR,2007,ex007,,out010,,Mus musculus,Mouse,Slc:ddY,Female,Young adult,11 w to 13 w,Young adult,,Factorial,,Independent,Yes,,Innate,,,,,,,Sham,sesame oil/vehicle,Both,,Single trial,,0.6,,1,,Acute,light phase,classical,Mozart k.448,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,55,,Not applicable,2,Anxiety,Marble burying,,marbles buried,count,N/A,light phase,2,Figure 10,Chikahisa_2007_fig_10,SILENCE_,MUSIC,SILENCE_MUSIC,No,,13.5,13.5,7.833,1.078,3.888,,4.186,0.666,2.401,,,No,,No,Yes,not reported,Yes,,Yes,don’t mention attrition,1,6,Chikahisa_2007_BBR_Ex-ID,-0.6265999543612936,0.042619791899599364
