Index,Study_ID,Cohort_ID,Ex_ID,Comparisons,Comparison_structure,Co_manipulation,Species,Strain,Sex,Induced_model,Music_type,Genre,Control,Assays,n_effect_sizes
29,Freitas_2020_ECNE,Freitas_2020_ECNE_ex002,ex002,EENM_EECM,Independent,Environmental enrichment,Mouse,BALB/c,Female,None/innate,classical,Western Art Music / Orchestral,ambiet sound,Open Field Test; Elevated Plus Maze,6
30,Fu_2023_TRANSPSY,Fu_2023_TRANSPSY_ex001,ex001,control_music,Independent,No,Mouse,C57BL/6,Male,None/innate,mixed,Mixed,ambiet sound,Open Field Test; Novelty Suppressed Feeding (NSF); Elevated Plus Maze; Tail Suspension Test (TST); Sucrose Preference Test (SPT),6
31,Fu_2023_TRANSPSY,Fu_2023_TRANSPSY_ex002,ex002,CUMS_CUMS+MUSIC,Independent,Maternal separation,Mouse,C57BL/6,Male,Maternal Separation,mixed,Mixed,ambiet sound,Open Field Test; Novelty Suppressed Feeding (NSF); Elevated Plus Maze; Tail Suspension Test (TST); Sucrose Preference Test (SPT),6
32,Fu_2025_TRANSPSY,Fu_2025_TRANSPSY_ex001,ex001,SHAM_SHAM+MUSIC,Independent,No,Mouse,BALB/c,Female,None/innate,mixed,Mixed,ambiet sound,Open Field Test; Forced Swim Test (FST); Elevated Plus Maze; Novelty Suppressed Feeding (NSF); Tail Suspension Test (TST),6
33,Krishnamurthy_2025_INDIANJTRADITKNOW,Krishnamurthy_2025_INDIANJTRADITKNOW_ex001,ex001,CUMS_CUMS+MUSIC,Independent,CUMS,Rat,Wistar,Male,Chronic Unpredictable Mild Stress,classical,Traditional Music / Folk / World,ambiet sound,Elevated Plus Maze; Sucrose Preference Test (SPT); Forced Swim Test (FST),10
34,Li_2010_BR,Li_2010_BR_ex001,ex001,wild.ambient_wild.music; wild.wnwild.music,Independent,No,Mouse,C57BL/6,Male,None/innate,mixed,Mixed,ambiet sound; white noise,Open Field Test; Elevated Plus Maze,4
35,Li_2010_BR,Li_2010_BR_ex002,ex002,wild.ambient_wild.music; wild.wnwild.music,Independent,No,Mouse,C57BL/6,Male,None/innate,mixed,Mixed,ambiet sound; white noise,Open Field Test; Elevated Plus Maze,4
36,Milbratz_2017_ALN,Milbratz_2017_ALN_ex001,ex001,CG_MG,Independent,Placebo: starch,Rat,Wistar,Male,None/innate,classical,Western Art Music / Orchestral,ambiet sound,Open Field Test,9
37,Milbratz_2017_ALN,Milbratz_2017_ALN_ex002,ex002,CPG_CPMG,Independent,Cocoa powder,Rat,Wistar,Male,None/innate,classical,Western Art Music / Orchestral,ambiet sound,Open Field Test,9
38,Niehues_2011_BCNEURO,Niehues_2011_BCNEURO_ex001,ex001,SILENCE_MUSIC,Independent,No,Rat,Wistar,Male,None/innate,classical,Western Art Music / Orchestral,ambiet sound,Elevated Plus Maze; Open Field Test,9
39,Pangemanan_2024_PHJ,Pangemanan_2024_PHJ_ex001,ex001,CUMS_CUMS+MUSIC,Independent,CUMS,Rat,Wistar,Male,Chronic Unpredictable Mild Stress,classical,Western Art Music / Orchestral,ambiet sound,Sucrose Preference Test (SPT),1
40,Papadakakis_2019_BBR,Papadakakis_2019_BBR_ex001,ex001,CGambient.noise_CGMozart,Independent,Maternal separation,Rat,Sprague Dawley,Male,None/innate,classical,Western Art Music / Orchestral,ambiet sound,Elevated Plus Maze; Forced Swim Test (FST),9
41,Papadakakis_2019_BBR,Papadakakis_2019_BBR_ex002,ex002,MSambient.noise_MSMozart,Independent,Maternal separation,Rat,Sprague Dawley,Male,Maternal Separation,classical,Western Art Music / Orchestral,ambiet sound,Elevated Plus Maze; Forced Swim Test (FST),9
42,Ren_2024_ASEAN,Ren_2024_ASEAN_ex001,ex001,WT_HH,Independent,No,Mouse,C57BL/6,Male,None/innate,hip hop,Popular Contemporary Music,ambiet sound,Sucrose Preference Test (SPT); Tail Suspension Test (TST); Forced Swim Test (FST); Nest building; Elevated Plus Maze; Open Field Test,8
43,Ren_2024_ASEAN,Ren_2024_ASEAN_ex002,ex002,WT_HM,Independent,No,Mouse,C57BL/6,Male,None/innate,heavy metal,Popular Contemporary Music,ambiet sound,Sucrose Preference Test (SPT); Tail Suspension Test (TST); Forced Swim Test (FST); Nest building; Elevated Plus Maze; Open Field Test,8
44,Rizzolo_2021_CC,Rizzolo_2021_CC_ex001,ex001,19WN_19_M; 23_WN_23_M,Independent,No,Rat,Wistar,Male,None/innate,classical,Western Art Music / Orchestral,white noise,Elevated Plus Maze,2
45,Saghari_2021_BIOINTERFACE,Saghari_2021_BIOINTERFACE_ex001,ex001,control_music,Independent,No,Rat,Wistar,Male,None/innate,classical,Western Art Music / Orchestral,ambiet sound,Open Field Test,4
46,Saghari_2021_BIOINTERFACE,Saghari_2021_BIOINTERFACE_ex002,ex002,ptsd_ptsd.music,Independent,PTSD,Rat,Wistar,Male,Single Prolong Stress,classical,Western Art Music / Orchestral,ambiet sound,Open Field Test,4
47,Sampaio_2017_PSYNEURO,Sampaio_2017_PSYNEURO_ex001,ex001,control_music.therapy,Dependent,No,Rat,Wistar,Male,None/innate,classical,Western Art Music / Orchestral,ambiet sound,Open Field Test; Elevated Plus Maze; Forced Swim Test (FST),20
48,Sampaio_2017_PSYNEURO,Sampaio_2017_PSYNEURO_ex002,ex002,control_music.therapy,Dependent,No,Rat,Wistar,Female,None/innate,classical,Western Art Music / Orchestral,ambiet sound,Open Field Test; Elevated Plus Maze; Forced Swim Test (FST),20
49,Terzioglu_2020_CMJ,Terzioglu_2020_CMJ_ex001,ex001,control_Classical; control_rock; control_sufi,Independent,No,Rat,Wistar,Mixed,None/innate,classical; Rock; sufi,Western Art Music / Orchestral; Popular Contemporary Music; Traditional Music / Folk / World,ambiet sound,Tail Suspension Test (TST),3
