ES_ID,Title,DOI,Publish_in,Study_ID,Year,Ex_ID...7,Exp_note,Outcome_ID,Outcome_notes,Species_latin,Species_common,Strain,Sex,Lifestage_exposure,Lifestage_exposure_notes,Lifestage_testing,Lifestage_testing_notes,Experimental_design,Experimental_design_notes,Comparison_structure,Combined_manipulation,Combined_manipulation_notes,Induced behaviour,Inducing_procedure,Inducing_procedure_notes,Lifestage_inducing_procedure,Lifestage_inducing_procedure_ notes,Inducing_procedure_duration,Inducing_procedure_duration_notes,Experimental_procedures,Experimental_procedures_notes,Relative_timing,Timing_notes,Test_sequence,Test_sequence_notes,Exposure_duration,Exposure_notes,Exposure_span,Exposure_span_notes,Music_exposure_duration,Music_timing,Music_type,Music_notes,Meta_genre,Loudness,Frequency,Stimulus_reporting,Control_conditions,Control_loudness,Control_notes,Control_frequency,Control_stimulus_reporting,Outcome_type,Assay_type,Assay_type_notes,Measurment_variable,Data_type,Data_units,Measurement_timing,Timing_reporting,Data_source,Data_file,C_ID,Ex_ID...65,Comparison,Higher_better,Higher_better_notes,C_n,Ex_n,C_mean,C_SE,C_SD,C_CI,Ex_mean,Ex_SE,Ex_SD,Ex_CI,Stat_comment,ROB_guideline,ROB_guideline_name,ROB_blinding,ROB_randomization,ROB_rand_method,ROB_attrition,ROB_attrition_notes,ROB_selective_reporting,ROB_selective_reporting_notes,Overall_rob,Reporting_quality,Cohort_ID,lnRR,lnRR_var,lnCVR,lnCVR_var,lnCVR_unstd
es058,Music exposure attenuates anxiety- and depression-like behaviors and increases hippocampal spine density in male rats,10.1016/j.bbr.2019.112023,Behavioural Brain Research,Papadakakis_2019_BBR,2019,ex001,,out002,,Rattus norvegicus,Rat,Sprague_Dawley,Male,Mixed,PND 21 to 76,Young adult,PND 84,Factorial,,Independent,Yes,Maternal separation,Innate,,,,,,,None,,Before,,Single trial,,12,,55,,Medium,light phase,classical,Western classical: Mozartt K.449,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,65,,Not applicable,2,Anxiety,Elevated Plus Maze,,Time in open arms,time,s,light phase,2,Figure 3,Papadakakis_2019_fig_3b,CGambient.noise_,CGMozart,CGambient.noise_CGMozart,Yes,,10,10,57.84,4.878,15.426,,50.174,2.787,8.815,,,No,,No,Yes,not reported,No,,No,,2,7,Papadakakis_2019_BBR_Ex-ID,-0.142183614,0.010199604,-0.4174159680511109,0.12131071505518055,-0.4174159680511109
es059,Music exposure attenuates anxiety- and depression-like behaviors and increases hippocampal spine density in male rats,10.1016/j.bbr.2019.112023,Behavioural Brain Research,Papadakakis_2019_BBR,2019,ex002,,out001,,Rattus norvegicus,Rat,Sprague_Dawley,Male,Mixed,PND 21 to 76,Young adult,PND 84,Factorial,,Independent,Yes,Maternal separation,Induced,Maternal Separation,,Mixed,neonatal+infantile,12,,None,,Before,,Single trial,,12,,55,,Medium,light phase,classical,Western classical: Mozartt K.449,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,65,,Not applicable,2,Anxiety,Elevated Plus Maze,,Time in closed arms,time,s,light phase,2,Figure 3,Papadakakis_2019_fig_3a,MSambient.noise_,MSMozart,MSambient.noise_MSMozart,No,,11,11,249.552,4.179,13.861,,212.537,6.567,21.781,,,No,,No,Yes,not reported,No,,No,,2,7,Papadakakis_2019_BBR_Ex-ID,0.160551219,0.001235221,-0.6125101083565319,0.10123522139889064,0.6125101083565319
es060,Music exposure attenuates anxiety- and depression-like behaviors and increases hippocampal spine density in male rats,10.1016/j.bbr.2019.112023,Behavioural Brain Research,Papadakakis_2019_BBR,2019,ex002,,out002,,Rattus norvegicus,Rat,Sprague_Dawley,Male,Mixed,PND 21 to 76,Young adult,PND 84,Factorial,,Independent,Yes,Maternal separation,Induced,Maternal Separation,,Mixed,neonatal+infantile,12,,None,,Before,,Single trial,,12,,55,,Medium,light phase,classical,Western classical: Mozartt K.449,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,65,,Not applicable,2,Anxiety,Elevated Plus Maze,,Time in open arms,time,s,light phase,2,Figure 3,Papadakakis_2019_fig_3b,MSambient.noise_,MSMozart,MSambient.noise_MSMozart,Yes,,11,11,37.631,4.181,13.867,,61.324,2.091,6.934,,,No,,No,Yes,not reported,No,,No,,2,7,Papadakakis_2019_BBR_Ex-ID,0.488343105,0.013506997,-1.1814181741632652,0.11350699692380094,-1.1814181741632652
es061,Music exposure attenuates anxiety- and depression-like behaviors and increases hippocampal spine density in male rats,10.1016/j.bbr.2019.112023,Behavioural Brain Research,Papadakakis_2019_BBR,2019,ex001,,out003,,Rattus norvegicus,Rat,Sprague_Dawley,Male,Mixed,PND 21 to 76,Young adult,PND 84,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,12,,55,,Medium,light phase,classical,Western classical: Mozartt K.449,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,65,,Not applicable,2,Anxiety,Elevated Plus Maze,,Stretch attend postures,count,N/A,light phase,2,Figure 4,Papadakakis_2019_fig_4a,CGambient.noise_,CGMozart,CGambient.noise_CGMozart,Yes,...less SAP...increased anxiety,10,10,64.161,2.273,7.187,,60.14,2.273,7.187,,,No,,No,Yes,not reported,No,,No,,2,7,Papadakakis_2019_BBR_Ex-ID,-0.064720372,0.00268287,0.06472037191132765,0.1137939813853677,0.06472037191132765
es063,Music exposure attenuates anxiety- and depression-like behaviors and increases hippocampal spine density in male rats,10.1016/j.bbr.2019.112023,Behavioural Brain Research,Papadakakis_2019_BBR,2019,ex001,,out005,,Rattus norvegicus,Rat,Sprague_Dawley,Male,Mixed,PND 21 to 76,Young adult,PND 84,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,12,,55,,Medium,light phase,classical,Western classical: Mozartt K.449,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,65,,Not applicable,2,Anxiety,Elevated Plus Maze,,Head dips,count,N/A,light phase,2,Figure 4,Papadakakis_2019_fig_4c,CGambient.noise_,CGMozart,CGambient.noise_CGMozart,Yes,...less head dips…increased anxiety,10,10,9.427,0.279,0.881,,10.449,0.789,2.497,,,No,,No,Yes,not reported,No,,No,,2,7,Papadakakis_2019_BBR_Ex-ID,0.102928368,0.006584061,0.9388592967056331,0.11769517163638943,0.9388592967056331
es064,Music exposure attenuates anxiety- and depression-like behaviors and increases hippocampal spine density in male rats,10.1016/j.bbr.2019.112023,Behavioural Brain Research,Papadakakis_2019_BBR,2019,ex002,,out003,,Rattus norvegicus,Rat,Sprague_Dawley,Male,Mixed,PND 21 to 76,Young adult,PND 84,Factorial,,Independent,Yes,Maternal separation,Induced,Maternal Separation,,Mixed,neonatal+infantile,12,,None,,Before,,Single trial,,12,,55,,Medium,light phase,classical,Western classical: Mozartt K.449,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,65,,Not applicable,2,Anxiety,Elevated Plus Maze,,Stretch attend postures,count,N/A,light phase,2,Figure 4,Papadakakis_2019_fig_4a,MSambient.noise_,MSMozart,MSambient.noise_MSMozart,Yes,...less SAP...increased anxiety,11,11,54.196,2.273,7.538,,63.811,1.923,6.378,,,No,,No,Yes,not reported,No,,No,,2,7,Papadakakis_2019_BBR_Ex-ID,0.163318484,0.002666881,-0.3304208105551913,0.1026668809010912,-0.3304208105551913
es066,Music exposure attenuates anxiety- and depression-like behaviors and increases hippocampal spine density in male rats,10.1016/j.bbr.2019.112023,Behavioural Brain Research,Papadakakis_2019_BBR,2019,ex002,,out005,,Rattus norvegicus,Rat,Sprague_Dawley,Male,Mixed,PND 21 to 76,Young adult,PND 84,Factorial,,Independent,Yes,Maternal separation,Induced,Maternal Separation,,Mixed,neonatal+infantile,12,,None,,Before,,Single trial,,12,,55,,Medium,light phase,classical,Western classical: Mozartt K.449,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,65,,Not applicable,2,Anxiety,Elevated Plus Maze,,Head dips,count,N/A,light phase,2,Figure 4,Papadakakis_2019_fig_4c,MSambient.noise_,MSMozart,MSambient.noise_MSMozart,Yes,...less head dips…increased anxiety,11,11,5.666,0.557,1.848,,8.452,0.604,2.002,,,No,,No,Yes,not reported,No,,No,,2,7,Papadakakis_2019_BBR_Ex-ID,0.399919698,0.014771248,-0.31987699067194914,0.1147712482272768,-0.31987699067194914
es067,Music exposure attenuates anxiety- and depression-like behaviors and increases hippocampal spine density in male rats,10.1016/j.bbr.2019.112023,Behavioural Brain Research,Papadakakis_2019_BBR,2019,ex001,,out006,,Rattus norvegicus,Rat,Sprague_Dawley,Male,Mixed,PND 21 to 77,Young adult,PDN 88,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,12,,55,,Medium,light phase,classical,Western classical: Mozartt K.449,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,65,,Not applicable,2,Depression,Forced Swim Test (FST),pre-test 24h before,Immobility,time,s,light phase,2,Figure 5,Papadakakis_2019_fig_5a,CGambient.noise_,CGMozart,CGambient.noise_CGMozart,No,...more time immobile….increased depressive behaviors,10,10,135.532,4.798,15.171,,124.738,1.799,5.689,,,No,,No,Yes,not reported,No,,No,,2,7,Papadakakis_2019_BBR_Ex-ID,0.082992237,0.001460987,0.8978589878180812,0.11257209805353215,-0.8978589878180812
es068,Music exposure attenuates anxiety- and depression-like behaviors and increases hippocampal spine density in male rats,10.1016/j.bbr.2019.112023,Behavioural Brain Research,Papadakakis_2019_BBR,2019,ex001,,out007,,Rattus norvegicus,Rat,Sprague_Dawley,Male,Mixed,PND 21 to 77,Young adult,PDN 88,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,12,,55,,Medium,light phase,classical,Western classical: Mozartt K.449,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,65,,Not applicable,2,Depression,Forced Swim Test (FST),pre-test 24h before,Total activity,time,s,light phase,2,Figure 5,Papadakakis_2019_fig_5b,CGambient.noise_,CGMozart,CGambient.noise_CGMozart,Yes,...more time immobile….increased depressive behaviors,10,10,165.051,4.699,14.859,,176.211,2.349,7.43,,,No,,No,Yes,not reported,No,,No,,2,7,Papadakakis_2019_BBR_Ex-ID,0.065427624,9.88e-4,-0.7585075071049812,0.11209938387113845,-0.7585075071049812
es069,Music exposure attenuates anxiety- and depression-like behaviors and increases hippocampal spine density in male rats,10.1016/j.bbr.2019.112023,Behavioural Brain Research,Papadakakis_2019_BBR,2019,ex001,,out008,,Rattus norvegicus,Rat,Sprague_Dawley,Male,Mixed,PND 21 to 77,Young adult,PDN 88,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,12,,55,,Medium,light phase,classical,Western classical: Mozartt K.449,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,65,,Not applicable,2,Depression,Forced Swim Test (FST),pre-test 24h before,Climbing,time,s,light phase,2,Figure 5,Papadakakis_2019_fig_5c,CGambient.noise_,CGMozart,CGambient.noise_CGMozart,Yes,...less time climbing and swimming…more depressed,10,10,93.255,3.519,11.128,,103.226,3.519,11.128,,,No,,No,Yes,not reported,No,,No,,2,7,Papadakakis_2019_BBR_Ex-ID,0.101583083,0.002586068,-0.10158308291150384,0.11369717905079599,-0.10158308291150384
es070,Music exposure attenuates anxiety- and depression-like behaviors and increases hippocampal spine density in male rats,10.1016/j.bbr.2019.112023,Behavioural Brain Research,Papadakakis_2019_BBR,2019,ex001,,out009,,Rattus norvegicus,Rat,Sprague_Dawley,Male,Mixed,PND 21 to 77,Young adult,PDN 88,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,12,,55,,Medium,light phase,classical,Western classical: Mozartt K.449,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,65,,Not applicable,2,Depression,Forced Swim Test (FST),pre-test 24h before,Swimming,time,s,light phase,2,Figure 5,Papadakakis_2019_fig_5d,CGambient.noise_,CGMozart,CGambient.noise_CGMozart,Yes,...less time climbing and swimming…more depressed,10,10,69.851,2.985,9.44,,72.836,2.985,9.44,,,No,,No,Yes,not reported,No,,No,,2,7,Papadakakis_2019_BBR_Ex-ID,0.041845936,0.00350619,-0.041845936476835516,0.11461730074069072,-0.041845936476835516
es071,Music exposure attenuates anxiety- and depression-like behaviors and increases hippocampal spine density in male rats,10.1016/j.bbr.2019.112023,Behavioural Brain Research,Papadakakis_2019_BBR,2019,ex002,,out006,,Rattus norvegicus,Rat,Sprague_Dawley,Male,Mixed,PND 21 to 77,Young adult,PDN 88,Factorial,,Independent,Yes,Maternal separation,Induced,Maternal Separation,,Mixed,neonatal+infantile,12,,None,,Before,,Single trial,,12,,55,,Medium,light phase,classical,Western classical: Mozartt K.449,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,65,,Not applicable,2,Depression,Forced Swim Test (FST),pre-test 24h before,Immobility,time,s,light phase,2,Figure 5,Papadakakis_2019_fig_5a,MSambient.noise_,MSMozart,MSambient.noise_MSMozart,No,...more time immobile….increased depressive behaviors,11,11,204.498,5.997,19.89,,148.126,4.198,13.923,,,No,,No,Yes,not reported,No,,No,,2,7,Papadakakis_2019_BBR_Ex-ID,0.322494933,0.001663176,0.034180011376260214,0.10166317594274346,-0.034180011376260214
es072,Music exposure attenuates anxiety- and depression-like behaviors and increases hippocampal spine density in male rats,10.1016/j.bbr.2019.112023,Behavioural Brain Research,Papadakakis_2019_BBR,2019,ex002,,out007,,Rattus norvegicus,Rat,Sprague_Dawley,Male,Mixed,PND 21 to 77,Young adult,PDN 88,Factorial,,Independent,Yes,Maternal separation,Induced,Maternal Separation,,Mixed,neonatal+infantile,12,,None,,Before,,Single trial,,12,,55,,Medium,light phase,classical,Western classical: Mozartt K.449,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,65,,Not applicable,2,Depression,Forced Swim Test (FST),pre-test 24h before,Total activity,time,s,light phase,2,Figure 5,Papadakakis_2019_fig_5b,MSambient.noise_,MSMozart,MSambient.noise_MSMozart,Yes,...more time immobile….increased depressive behaviors,11,11,94.567,5.874,19.481,,152.129,4.112,13.637,,,No,,No,Yes,not reported,No,,No,,2,7,Papadakakis_2019_BBR_Ex-ID,0.475420267,0.004588398,-0.8320732118606804,0.10458839787203077,-0.8320732118606804
es073,Music exposure attenuates anxiety- and depression-like behaviors and increases hippocampal spine density in male rats,10.1016/j.bbr.2019.112023,Behavioural Brain Research,Papadakakis_2019_BBR,2019,ex002,,out008,,Rattus norvegicus,Rat,Sprague_Dawley,Male,Mixed,PND 21 to 77,Young adult,PDN 88,Factorial,,Independent,Yes,Maternal separation,Induced,Maternal Separation,,Mixed,neonatal+infantile,12,,None,,Before,,Single trial,,12,,55,,Medium,light phase,classical,Western classical: Mozartt K.449,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,65,,Not applicable,2,Depression,Forced Swim Test (FST),pre-test 24h before,Climbing,time,s,light phase,2,Figure 5,Papadakakis_2019_fig_5c,MSambient.noise_,MSMozart,MSambient.noise_MSMozart,Yes,...less time climbing and swimming…more depressed,11,11,60.411,2.346,7.781,,89.736,1.76,5.836,,,No,,No,Yes,not reported,No,,No,,2,7,Papadakakis_2019_BBR_Ex-ID,0.395700819,0.001892663,-0.6833400527527982,0.1018926626006057,-0.6833400527527982
es074,Music exposure attenuates anxiety- and depression-like behaviors and increases hippocampal spine density in male rats,10.1016/j.bbr.2019.112023,Behavioural Brain Research,Papadakakis_2019_BBR,2019,ex002,,out009,,Rattus norvegicus,Rat,Sprague_Dawley,Male,Mixed,PND 21 to 77,Young adult,PDN 88,Factorial,,Independent,Yes,Maternal separation,Induced,Maternal Separation,,Mixed,neonatal+infantile,12,,None,,Before,,Single trial,,12,,55,,Medium,light phase,classical,Western classical: Mozartt K.449,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,65,,Not applicable,2,Depression,Forced Swim Test (FST),pre-test 24h before,Swimming,time,s,light phase,2,Figure 5,Papadakakis_2019_fig_5d,MSambient.noise_,MSMozart,MSambient.noise_MSMozart,Yes,...less time climbing and swimming…more depressed,11,11,34.627,4.179,13.861,,61.493,4.179,13.861,,,No,,No,Yes,not reported,No,,No,,2,7,Papadakakis_2019_BBR_Ex-ID,0.574289623,0.019185855,-0.5742896226239335,0.1191858548909401,-0.5742896226239335
es075,Music prevents stress-induced depression and anxiety-like behavior in mice,10.1038/s41398-023-02606-z,Translational Psychiatry,Fu_2023_TRANSPSY,2023,ex001,,out001,,Mus musculus,Mouse,C57BL/6,Male,Young adult,>8weeks,Young adult,,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,1.5,,28,,Short,dark phase,mixed,"Baroque, classsical (eastern/western), romantic (?)",Mixed,Not reported,86-22006,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Open Field Test,,Time in center,time,s,light phase,2,Figure 1,Fu_2023_fig_1B,control_,music,control_music,Yes,,6,6,2.383,0.606,1.486,,2.48,0.726,1.777,,,No,,Yes,Not reported,not reported,No,,Yes,Missing: number of times the mice crossed the center,1,4,Fu_2023_TRANSPSY_Ex-ID,0.039898362,0.150379188,0.1389402408166613,0.3503791883674796,0.1389402408166613
es076,Music prevents stress-induced depression and anxiety-like behavior in mice,10.1038/s41398-023-02606-z,Translational Psychiatry,Fu_2023_TRANSPSY,2023,ex001,,out002,,Mus musculus,Mouse,C57BL/6,Male,Young adult,>8weeks,Young adult,,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,1.5,,28,,Short,dark phase,mixed,"Baroque, classsical (eastern/western), romantic (?)",Mixed,Not reported,86-22007,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Open Field Test,,Motion,distance,mm,light phase,2,Figure 1,Fu_2023_fig_1B_2,control_,music,control_music,Yes,,6,6,21252.336,1626.168,3983.282,,21364.486,1401.869,3433.864,,,No,,Yes,Not reported,not reported,No,,Yes,Missing: number of times the mice crossed the center,1,4,Fu_2023_TRANSPSY_Ex-ID,0.005263192,0.010160437,-0.15368313689379756,0.21016043726340553,-0.15368313689379756
es077,Music prevents stress-induced depression and anxiety-like behavior in mice,10.1038/s41398-023-02606-z,Translational Psychiatry,Fu_2023_TRANSPSY,2023,ex002,,out001,,Mus musculus,Mouse,C57BL/6,Male,Young adult,>8weeks,Young adult,,Factorial,,Independent,Yes,Maternal separation,Induced,Maternal Separation,,Young adult,,28,,None,,Before,,Single trial,,1.5,,28,,Short,dark phase,mixed,"Baroque, classsical (eastern/western), romantic (?)",Mixed,Not reported,86-22008,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Open Field Test,,Time in center,time,s,light phase,2,Figure 1,Fu_2023_fig_1B,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,Yes,,10,14,1.202,0.314,0.993,,3.249,0.303,1.135,,,No,,Yes,Not reported,not reported,No,,Yes,Missing: number of times the mice crossed the center,1,4,Fu_2023_TRANSPSY_Ex-ID,0.994360421,0.076964886,-0.8777971717976341,0.1709819804735694,-0.8777971717976341
es078,Music prevents stress-induced depression and anxiety-like behavior in mice,10.1038/s41398-023-02606-z,Translational Psychiatry,Fu_2023_TRANSPSY,2023,ex002,,out002,,Mus musculus,Mouse,C57BL/6,Male,Young adult,>8weeks,Young adult,,Factorial,,Independent,Yes,Maternal separation,Induced,Maternal Separation,,Young adult,,28,,None,,Before,,Single trial,,1.5,,28,,Short,dark phase,mixed,"Baroque, classsical (eastern/western), romantic (?)",Mixed,Not reported,86-22009,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Open Field Test,,Motion,distance,mm,light phase,2,Figure 1,Fu_2023_fig_1B_2,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,Yes,,10,14,15196.262,672.897,2127.888,,18056.075,336.449,1258.875,,,No,,Yes,Not reported,not reported,No,,Yes,Missing: number of times the mice crossed the center,1,4,Fu_2023_TRANSPSY_Ex-ID,0.172432717,0.002307967,-0.7144382073176629,0.09632506057833234,-0.7144382073176629
es079,Music prevents stress-induced depression and anxiety-like behavior in mice,10.1038/s41398-023-02606-z,Translational Psychiatry,Fu_2023_TRANSPSY,2023,ex001,,out003,,Mus musculus,Mouse,C57BL/6,Male,Young adult,>8weeks,Young adult,,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,1.5,,28,,Short,dark phase,mixed,"Baroque, classsical (eastern/western), romantic (?)",Mixed,Not reported,86-22010,1,ambiet sound,Not reported,,Not applicable,0,both,Novelty Suppressed Feeding (NSF),,Latency,time,s,light phase,2,Figure 1,Fu_2023_fig_1C,control_,music,control_music,No,,6,6,44.706,14.118,34.581,,35.966,8.739,21.407,,,No,,Yes,Not reported,not reported,No,,Yes,,1,4,Fu_2023_TRANSPSY_Ex-ID,0.217533673,0.158766327,0.2620527538852596,0.35876632722058727,-0.2620527538852596
es080,Music prevents stress-induced depression and anxiety-like behavior in mice,10.1038/s41398-023-02606-z,Translational Psychiatry,Fu_2023_TRANSPSY,2023,ex002,,out003,,Mus musculus,Mouse,C57BL/6,Male,Young adult,>8weeks,Young adult,,Factorial,,Independent,Yes,Maternal separation,Induced,Maternal Separation,,Young adult,,28,,None,,Before,,Single trial,,1.5,,28,,Short,dark phase,mixed,"Baroque, classsical (eastern/western), romantic (?)",Mixed,Not reported,86-22011,1,ambiet sound,Not reported,,Not applicable,0,both,Novelty Suppressed Feeding (NSF),,Latency,time,s,light phase,2,Figure 1,Fu_2023_fig_1C,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,No,,10,14,98.824,9.076,28.7,,48.067,4.706,17.608,,,No,,Yes,Not reported,not reported,No,,Yes,,1,4,Fu_2023_TRANSPSY_Ex-ID,0.720744619,0.018019233,-0.21510682362762715,0.11203632730396568,0.21510682362762715
es081,Music prevents stress-induced depression and anxiety-like behavior in mice,10.1038/s41398-023-02606-z,Translational Psychiatry,Fu_2023_TRANSPSY,2023,ex001,,out004,,Mus musculus,Mouse,C57BL/6,Male,Young adult,>8weeks,Young adult,,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,1.5,,28,,Short,dark phase,mixed,"Baroque, classsical (eastern/western), romantic (?)",Mixed,Not reported,86-22012,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Elevated Plus Maze,,Time in open arms,time,s,light phase,2,Figure 1,Fu_2023_fig_1D,control_,music,control_music,Yes,,6,6,68.278,10.545,25.829,,79.086,7.645,18.726,,,No,,Yes,Not reported,not reported,No,,Yes,,1,4,Fu_2023_TRANSPSY_Ex-ID,0.146948262,0.033194912,-0.46853322078396786,0.2331949120549594,-0.46853322078396786
es082,Music prevents stress-induced depression and anxiety-like behavior in mice,10.1038/s41398-023-02606-z,Translational Psychiatry,Fu_2023_TRANSPSY,2023,ex002,,out004,,Mus musculus,Mouse,C57BL/6,Male,Young adult,>8weeks,Young adult,,Factorial,,Independent,Yes,Maternal separation,Induced,Maternal Separation,,Young adult,,28,,None,,Before,,Single trial,,1.5,,28,,Short,dark phase,mixed,"Baroque, classsical (eastern/western), romantic (?)",Mixed,Not reported,86-22013,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Elevated Plus Maze,,Time in open arms,time,s,light phase,2,Figure 1,Fu_2023_fig_1D,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,Yes,,10,14,26.626,2.636,8.336,,77.241,3.954,14.796,,,No,,Yes,Not reported,not reported,No,,Yes,"Missing: The number of entries into closed arms and the
time spent in each arm",1,4,Fu_2023_TRANSPSY_Ex-ID,1.065042222,0.012422735,-0.5083628502613633,0.10643982935743788,-0.5083628502613633
es083,Music prevents stress-induced depression and anxiety-like behavior in mice,10.1038/s41398-023-02606-z,Translational Psychiatry,Fu_2023_TRANSPSY,2023,ex001,,out005,,Mus musculus,Mouse,C57BL/6,Male,Young adult,>8weeks,Young adult,,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,1.5,,28,,Short,dark phase,mixed,"Baroque, classsical (eastern/western), romantic (?)",Mixed,Not reported,86-22014,1,ambiet sound,Not reported,,Not applicable,0,Depression,Tail Suspension Test (TST),,Immobility,time,s,light phase,2,Figure 1,Fu_2023_fig_1E,control_,music,control_music,No,,6,6,136.774,13.548,33.187,,110.323,18.065,44.249,,,No,,Yes,Not reported,not reported,No,,Yes,"Missing: The number of entries into closed arms and the
time spent in each arm",1,4,Fu_2023_TRANSPSY_Ex-ID,0.214917502,0.036624104,-0.5025920412648748,0.2366241043990975,0.5025920412648748
es084,Music prevents stress-induced depression and anxiety-like behavior in mice,10.1038/s41398-023-02606-z,Translational Psychiatry,Fu_2023_TRANSPSY,2023,ex002,,out005,,Mus musculus,Mouse,C57BL/6,Male,Young adult,>8weeks,Young adult,,Factorial,,Independent,Yes,Maternal separation,Induced,Maternal Separation,,Young adult,,28,,None,,Before,,Single trial,,1.5,,28,,Short,dark phase,mixed,"Baroque, classsical (eastern/western), romantic (?)",Mixed,Not reported,86-22015,1,ambiet sound,Not reported,,Not applicable,0,Depression,Tail Suspension Test (TST),,Immobility,time,s,light phase,2,Figure 1,Fu_2023_fig_1E,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,No,,10,14,209.032,14.839,46.924,,94.194,13.548,50.693,,,No,,Yes,Not reported,not reported,No,,Yes,,1,4,Fu_2023_TRANSPSY_Ex-ID,0.797130865,0.025727375,-0.8572954102726438,0.11974446891762988,0.8572954102726438
es087,Effect of music therapy on the developing central nervous system of rats,10.1037/pne0000087,Psychology & Neuroscience,Sampaio_2017_PSYNEURO,2017,ex001,,out001,,Rattus norvegicus,Rat,Wistar,Male,Juvenile,1 month,Juvenile,1 month,Repeated Measures,,Dependent,No,,Innate,,,,,,,None,,Before,,T1,,4,,4,,Acute,both,classical,Mozart k.448,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Open Field Test,,Motion,count,N/A,Not reported,1,Figure 1,Sampaio_2017_fig_1_male,control_,music.therapy,control_music.therapy,Yes,,10,10,78.607,6.302,19.928,,74.295,2.819,8.915,,,No,,No,Not reported,not reported,No,,No,,1,3,Sampaio_2017_PSYNEURO_Ex-ID,-0.056417099,0.004824786,-0.7479734273592276,0.11897793284570121,-0.7479734273592276
es088,Effect of music therapy on the developing central nervous system of rats,10.1037/pne0000087,Psychology & Neuroscience,Sampaio_2017_PSYNEURO,2017,ex001,,out002,,Rattus norvegicus,Rat,Wistar,Male,Adolescent,2 months,Adolescent,2 months,Repeated Measures,,Dependent,No,,Innate,,,,,,,None,,Before,,T2,,4,,4,,Acute,both,classical,Mozart k.448,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Open Field Test,,Motion,count,N/A,Not reported,1,Figure 1,Sampaio_2017_fig_1_male,control_,music.therapy,control_music.therapy,Yes,,10,10,56.385,7.96,25.172,,44.279,3.814,12.062,,,No,,No,Not reported,not reported,No,,No,,1,3,Sampaio_2017_PSYNEURO_Ex-ID,-0.241692642,0.015189535,-0.49397960897789606,0.13846182464039108,-0.49397960897789606
es089,Effect of music therapy on the developing central nervous system of rats,10.1037/pne0000087,Psychology & Neuroscience,Sampaio_2017_PSYNEURO,2017,ex001,,out003,,Rattus norvegicus,Rat,Wistar,Male,Young adult,3 months,Young adult,3 months,Repeated Measures,,Dependent,No,,Innate,,,,,,,None,,Before,,T3,,4,,4,,Acute,both,classical,Mozart k.448,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Open Field Test,,Motion,count,N/A,Not reported,1,Figure 1,Sampaio_2017_fig_1_male,control_,music.therapy,control_music.therapy,Yes,,10,10,38.308,4.312,13.635,,30.846,3.483,11.013,,,No,,No,Not reported,not reported,No,,No,,1,3,Sampaio_2017_PSYNEURO_Ex-ID,-0.216651669,0.012707982,0.0030880462432052724,0.13652695386554048,0.0030880462432052724
