ES_ID,Title,DOI,Publish_in,Study_ID,Year,Ex_ID...7,Exp_note,Outcome_ID,Outcome_notes,Species_latin,Species_common,Strain,Sex,Lifestage_exposure,Lifestage_exposure_notes,Lifestage_testing,Lifestage_testing_notes,Experimental_design,Experimental_design_notes,Comparison_structure,Combined_manipulation,Combined_manipulation_notes,Induced behaviour,Inducing_procedure,Inducing_procedure_notes,Lifestage_inducing_procedure,Lifestage_inducing_procedure_ notes,Inducing_procedure_duration,Inducing_procedure_duration_notes,Experimental_procedures,Experimental_procedures_notes,Relative_timing,Timing_notes,Test_sequence,Test_sequence_notes,Exposure_duration,Exposure_notes,Exposure_span,Exposure_span_notes,Music_exposure_duration,Music_timing,Music_type,Music_notes,Meta_genre,Loudness,Frequency,Stimulus_reporting,Control_conditions,Control_loudness,Control_notes,Control_frequency,Control_stimulus_reporting,Outcome_type,Assay_type,Assay_type_notes,Measurment_variable,Data_type,Data_units,Measurement_timing,Timing_reporting,Data_source,Data_file,C_ID,Ex_ID...65,Comparison,Higher_better,Higher_better_notes,C_n,Ex_n,C_mean,C_SE,C_SD,C_CI,Ex_mean,Ex_SE,Ex_SD,Ex_CI,Stat_comment,ROB_guideline,ROB_guideline_name,ROB_blinding,ROB_randomization,ROB_rand_method,ROB_attrition,ROB_attrition_notes,ROB_selective_reporting,ROB_selective_reporting_notes,Overall_rob,Reporting_quality,Cohort_ID,lnRR,lnRR_var,lnCVR,lnCVR_var,lnCVR_unstd
es014,Classical Music and Environmental Enrichment Enhanced Spatial Memory and Learning and Increased Mouse Innate Tendency to Avoid Open Spaces,10.31080/ecne.2021.13.00837,EC Neurology,Freitas_2020_ECNE,2020,ex001,,out004,,Mus musculus,Mouse,BALB/c,Female,Mixed,Juvenile to young adult,Young adult,,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,12,10 min silent invertval every 30 min of music,39,3 times a week during 3 months,Medium,dark phase,classical,Western classicals,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Open Field Test,Preference index,Periphery vs Center,time,index,Not reported,1,Figure 1,Freitas_2020_fig_1D,IENM_,IECM,IENM_IECM,No,Higher values = more time in periphey; ..EE-CM animals occupied the center of the apparatus longer than IE-CM animals,8,8,0.414,0.036,0.102,,0.517,0.056,0.159,,,No,,No,Not reported,not reported,No,,No,,1,3,Freitas_2020_ECNE_Ex-ID,-0.222176901,0.019410569,-0.2217544882528457,0.16226771162910178,0.2217544882528457
es015,Classical Music and Environmental Enrichment Enhanced Spatial Memory and Learning and Increased Mouse Innate Tendency to Avoid Open Spaces,10.31080/ecne.2021.13.00837,EC Neurology,Freitas_2020_ECNE,2020,ex002,,out001,,Mus musculus,Mouse,BALB/c,Female,Mixed,Juvenile to young adult,Young adult,,Factorial,,Independent,Yes,Environmental enrichment,Innate,,,,,,,None,,Before,,Single trial,,12,10 min silent invertval every 30 min of music,39,3 times a week during 3 months,Medium,dark phase,classical,Western classicals,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Open Field Test,,Motion,distance,m,Not reported,1,Figure 1,Freitas_2020_fig_1A,EENM_,EECM,EENM_EECM,Yes,,8,8,11.076,0.471,1.332,,9.552,0.359,1.015,,,No,,No,Not reported,not reported,No,,No,,1,3,Freitas_2020_ECNE_Ex-ID,-0.148030049,0.00321922,-0.12376291096597772,0.14607636286792952,-0.12376291096597772
es016,Classical Music and Environmental Enrichment Enhanced Spatial Memory and Learning and Increased Mouse Innate Tendency to Avoid Open Spaces,10.31080/ecne.2021.13.00837,EC Neurology,Freitas_2020_ECNE,2020,ex002,,out002,,Mus musculus,Mouse,BALB/c,Female,Mixed,Juvenile to young adult,Young adult,,Factorial,,Independent,Yes,Environmental enrichment,Innate,,,,,,,None,,Before,,Single trial,,12,10 min silent invertval every 30 min of music,39,3 times a week during 3 months,Medium,dark phase,classical,Western classicals,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Open Field Test,,Crossed lines,count,N/A,Not reported,1,Figure 1,Freitas_2020_fig_1B,EENM_,EECM,EENM_EECM,Yes,,8,8,146.908,6.033,17.064,,134.842,5.43,15.358,,,No,,No,Not reported,not reported,No,,No,,1,3,Freitas_2020_ECNE_Ex-ID,-0.085702818,0.003308023,-0.019631652397982063,0.14616516620551,-0.019631652397982063
es017,Classical Music and Environmental Enrichment Enhanced Spatial Memory and Learning and Increased Mouse Innate Tendency to Avoid Open Spaces,10.31080/ecne.2021.13.00837,EC Neurology,Freitas_2020_ECNE,2020,ex002,,out003,,Mus musculus,Mouse,BALB/c,Female,Mixed,Juvenile to young adult,Young adult,,Factorial,,Independent,Yes,Environmental enrichment,Innate,,,,,,,None,,Before,,Single trial,,12,10 min silent invertval every 30 min of music,39,3 times a week during 3 months,Medium,dark phase,classical,Western classicals,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Open Field Test,,Immobility,time,s,Not reported,1,Figure 1,Freitas_2020_fig_1C,EENM_,EECM,EENM_EECM,No,,8,8,71.041,7.038,19.907,,85.777,6.378,18.041,,,No,,No,Not reported,not reported,No,,No,,1,3,Freitas_2020_ECNE_Ex-ID,-0.18849373,0.015344845,0.2869182133296484,0.15820198797092616,-0.2869182133296484
es019,Classical Music and Environmental Enrichment Enhanced Spatial Memory and Learning and Increased Mouse Innate Tendency to Avoid Open Spaces,10.31080/ecne.2021.13.00837,EC Neurology,Freitas_2020_ECNE,2020,ex001,,out001,,Mus musculus,Mouse,BALB/c,Female,Mixed,Juvenile to young adult,Young adult,,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,12,10 min silent invertval every 30 min of music,39,3 times a week during 3 months,Medium,dark phase,classical,Western classicals,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Elevated Plus Maze,Preference index,Closed vs Open arms,time,index,Not reported,1,Figure 2,Freitas_2020_fig_2A,IENM_,IECM,IENM_IECM,No,Negative = less anxiety (open arms),8,8,0.41,0.099,0.28,,0.395,0.073,0.206,,,No,,No,Not reported,not reported,No,,No,,1,3,Freitas_2020_ECNE_Ex-ID,0.037271395,0.092296389,0.26964203958243715,0.23515353139369677,-0.26964203958243715
es020,Classical Music and Environmental Enrichment Enhanced Spatial Memory and Learning and Increased Mouse Innate Tendency to Avoid Open Spaces,10.31080/ecne.2021.13.00837,EC Neurology,Freitas_2020_ECNE,2020,ex001,,out002,,Mus musculus,Mouse,BALB/c,Female,Mixed,Juvenile to young adult,Young adult,,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,12,10 min silent invertval every 30 min of music,39,3 times a week during 3 months,Medium,dark phase,classical,Western classicals,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Elevated Plus Maze,,Immobility,time,s,Not reported,1,Figure 2,Freitas_2020_fig_2C,IENM_,IECM,IENM_IECM,No,,8,8,68.314,13.808,39.055,,207.485,12.718,35.972,,,No,,No,Not reported,not reported,No,,No,,1,3,Freitas_2020_ECNE_Ex-ID,-1.110944324,0.044612086,1.193174375301447,0.18746922863616403,-1.193174375301447
es021,Classical Music and Environmental Enrichment Enhanced Spatial Memory and Learning and Increased Mouse Innate Tendency to Avoid Open Spaces,10.31080/ecne.2021.13.00837,EC Neurology,Freitas_2020_ECNE,2020,ex001,,out003,,Mus musculus,Mouse,BALB/c,Female,Mixed,Juvenile to young adult,Young adult,,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,12,10 min silent invertval every 30 min of music,39,3 times a week during 3 months,Medium,dark phase,classical,Western classicals,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Elevated Plus Maze,,Time in center,time,s,Not reported,1,Figure 2,Freitas_2020_fig_2D,IENM_,IECM,IENM_IECM,No,,8,8,59.665,4.992,14.121,,45.297,5.845,16.531,,,No,,No,Not reported,not reported,No,,No,,1,3,Freitas_2020_ECNE_Ex-ID,0.275504779,0.02364995,-0.43307913367493667,0.1665070932384227,0.43307913367493667
es023,Classical Music and Environmental Enrichment Enhanced Spatial Memory and Learning and Increased Mouse Innate Tendency to Avoid Open Spaces,10.31080/ecne.2021.13.00837,EC Neurology,Freitas_2020_ECNE,2020,ex002,,out002,,Mus musculus,Mouse,BALB/c,Female,Mixed,Juvenile to young adult,Young adult,,Factorial,,Independent,Yes,Environmental enrichment,Innate,,,,,,,None,,Before,,Single trial,,12,10 min silent invertval every 30 min of music,39,3 times a week during 3 months,Medium,dark phase,classical,Western classicals,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Elevated Plus Maze,,Immobility,time,s,Not reported,1,Figure 2,Freitas_2020_fig_2C,EENM_,EECM,EENM_EECM,No,,8,8,82.849,7.994,22.611,,122.093,10.538,29.805,,,No,,No,Not reported,not reported,No,,No,,1,3,Freitas_2020_ECNE_Ex-ID,-0.387763376,0.016759693,0.11152372447975714,0.15961683615060562,-0.11152372447975714
es024,Classical Music and Environmental Enrichment Enhanced Spatial Memory and Learning and Increased Mouse Innate Tendency to Avoid Open Spaces,10.31080/ecne.2021.13.00837,EC Neurology,Freitas_2020_ECNE,2020,ex002,,out003,,Mus musculus,Mouse,BALB/c,Female,Mixed,Juvenile to young adult,Young adult,,Factorial,,Independent,Yes,Environmental enrichment,Innate,,,,,,,None,,Before,,Single trial,,12,10 min silent invertval every 30 min of music,39,3 times a week during 3 months,Medium,dark phase,classical,Western classicals,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Elevated Plus Maze,,Time in center,time,s,Not reported,1,Figure 2,Freitas_2020_fig_2D,EENM_,EECM,EENM_EECM,No,,8,8,51.75,7.184,20.32,,37.504,3.896,11.021,,,No,,No,Not reported,not reported,No,,No,,1,3,Freitas_2020_ECNE_Ex-ID,0.321976838,0.030066799,0.2898262408099449,0.17292394179041706,-0.2898262408099449
es025,Music Alleviates Learning and Memory Impairments in an Animal Model of Post-Traumatic Stress Disorder,10.33263/BRIAC111.77757784,Biointerface Research in Applied Chemistry,Saghari_2021_BIOINTERFACE,2021,ex001,,out001,,Rattus norvegicus,Rat,Wistar,Male,Adult,,Adult,,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,12,,7,0700h to 1700h,Acute,light phase,classical,Western classical: Mozart k.448,Western Art Music / Orchestral,Not reported,Not reported,0,ambiet sound,Not reported,,Not applicable,0,Anxiety,Open Field Test,,Time in inner zone,time,s,light phase,2,Figure 1,Saghari_2021_fig_1A,control_,music,control_music,Yes,,14,14,13.5,1.037,3.878,,15.447,0.834,3.122,,,No,,No,Yes,not reported,No,,No,,2,4,Saghari_2021_BIOINTERFACE_Ex-ID,0.134725124,0.008811894,-0.3515708590149499,0.08573497069872678,-0.3515708590149499
