ri,anxiety_est,anxiety_ci.lb,anxiety_ci.ub,anxiety_pval,depression_est,contrast_est,contrast_ci.lb,contrast_ci.ub,contrast_tval,contrast_pval
0,0.305485922026246,0.013069702673027372,0.5979021413794647,0.04068347087503501,-0.32079628663636894,-0.626282208662615,-1.061425771939334,-0.19113864538589587,-2.8367071680359848,0.004989702224121262
0.25,0.3051384179704705,0.012862356644202988,0.597414479296738,0.040814791819786526,-0.3206190673279661,-0.6257574852984366,-1.0607305855913036,-0.19078438500556943,-2.835441220205848,0.005008798981130846
0.5,0.3040745932199337,0.012224595695844553,0.5959245907440228,0.041221920080752275,-0.3201044263393167,-0.6241790195592504,-1.0586345106232806,-0.18972352849522017,-2.8316584703402925,0.005066258717115053
0.75,0.30222700723313134,0.011106006307721794,0.5933480081585409,0.04194776495596954,-0.3193112328262335,-0.6215382400593649,-1.0551074828889346,-0.18796899722979515,-2.825441911582391,0.005161992326762663
0.9,0.30069349854660815,0.010166892290550844,0.5912201048026655,0.042568823452185385,-0.31875104716752883,-0.619444545714137,-1.052286055337971,-0.1866030360903031,-2.820658608421452,0.005236771475995134
